team,x,y,cluster,rank
Syria,-1.6704558436986372,3.5207103325170093,0,77
Republic of Serbia,2.900065718078873,-2.9417261850315986,0,19
Taiwan,-1.6704558436986372,3.5207103325170093,0,215
Ghana,6.619972590668079,-1.4143415304311644,0,16
New Caledonia,-1.6704558436986374,3.5207103325170084,0,108
Vanuatu,-1.6704558436986374,3.5207103325170084,0,140
Fiji,-1.6704558436986374,3.5207103325170084,0,106
Pakistan,-1.6704558436986374,3.5207103325170084,0,142
Sri Lanka,-1.6704558436986374,3.5207103325170084,0,126
Gambia,-1.6704558436986374,3.5207103325170084,0,88
Malaysia,-1.6704558436986374,3.5207103325170084,0,79
Burundi,-1.6704558436986374,3.5207103325170084,0,101
Cambodia,-1.6704558436986374,3.5207103325170084,0,162
Thailand,-1.6704558436986374,3.5207103325170084,0,45
Kyrgyzstan,-1.6704558436986374,3.5207103325170084,0,215
Moldova,-1.6704558436986374,3.5207103325170084,0,52
Togo,-1.6704558436986374,3.5207103325170084,0,56
North Korea,0.8406956926014433,5.862202583883434,0,17
Sudan,-1.6704558436986374,3.5207103325170093,0,74
Tunisia,-0.8156839514242065,-1.2029975709795881,0,21
Libya,-1.6704558436986374,3.5207103325170093,0,54
Malawi,-1.6704558436986374,3.5207103325170093,0,67
Morocco,2.998933204425428,3.9367467422955587,0,13
Benin,-1.6704558436986374,3.5207103325170093,0,59
Cameroon,-9.12479470520791,-2.969519173056835,0,11
Central African Republic,-1.6704558436986374,3.5207103325170084,0,52
Mali,-1.6704558436986374,3.5207103325170084,0,25
Gabon,-1.6704558436986374,3.5207103325170084,0,39
Burkina Faso,-1.6704558436986374,3.5207103325170084,0,41
Ivory Coast,2.428831391661771,-0.13690803670737298,0,215
Madagascar,-1.6704558436986374,3.5207103325170084,0,89
Iraq,-1.6704558436986374,3.5207103325170084,0,43
Guinea,-1.6704558436986374,3.5207103325170084,0,23
Senegal,-5.8365392683808155,-3.903798253510136,0,23
Algeria,5.1472926496555305,3.175884634255429,0,18
Kuwait,-0.906906286270979,3.8170273330137374,0,24
Jordan,-1.6704558436986372,3.5207103325170093,0,40
Liberia,-1.6704558436986372,3.5207103325170093,0,73
Somalia,-1.6704558436986372,3.5207103325170093,0,165
Laos,-1.6704558436986372,3.5207103325170093,0,143
Saudi Arabia,-5.639911046446287,-1.2521131003578576,0,26
Chad,-1.6704558436986379,3.5207103325170093,0,114
Niger,-1.6704558436986379,3.5207103325170093,0,70
Palestine,-1.6704558436986379,3.5207103325170093,0,80
Yemen,-1.6704558436986379,3.5207103325170093,0,91
Solomon Islands,-1.6704558436986379,3.5207103325170093,0,123
Papua New Guinea,-1.6704558436986379,3.5207103325170093,0,160
Swaziland,-1.6704558436986379,3.5207103325170093,0,215
Botswana,-1.6704558436986379,3.5207103325170093,0,53
Qatar,-1.6704558436986379,3.5207103325170093,0,54
Lesotho,-1.6704558436986379,3.5207103325170093,0,120
The Bahamas,-1.6704558436986379,3.5207103325170093,0,215
Brunei,-1.6704558436986379,3.5207103325170093,0,151
United Arab Emirates,-1.6704558436986379,3.5207103325170093,0,42
Nepal,-1.6704558436986379,3.5207103325170093,0,124
Bangladesh,-1.6704558436986379,3.5207103325170093,0,116
Oman,-1.6704558436986379,3.5207103325170093,0,56
Equatorial Guinea,-1.6704558436986379,3.5207103325170093,0,69
Mozambique,-1.6704558436986379,3.5207103325170093,0,67
Mauritania,-1.6704558436986379,3.5207103325170093,0,85
Angola,0.023548554308703642,3.3954861924612882,0,50
Rwanda,-1.6704558436986379,3.5207103325170084,0,68
Northern Cyprus,-1.6704558436986379,3.5207103325170084,0,215
Armenia,-1.6704558436986379,3.5207103325170084,0,35
Georgia,-1.6704558436986379,3.5207103325170084,0,52
Azerbaijan,-1.6704558436986379,3.5207103325170084,0,90
Kazakhstan,-1.6704558436986379,3.5207103325170084,0,98
Greenland,-1.6704558436986379,3.5207103325170084,0,215
Bhutan,-1.6704558436986379,3.5207103325170084,0,177
Belize,-1.6704558436986379,3.5207103325170084,0,127
Namibia,-1.6704558436986379,3.5207103325170084,0,69
Slovenia,1.1786908521056096,1.4501044298831758,0,17
Turkmenistan,-1.6704558436986372,3.5207103325170084,0,98
Tajikistan,-1.6704558436986372,3.5207103325170084,0,114
Uzbekistan,-1.6704558436986372,3.5207103325170084,0,45
Eritrea,-1.6704558436986372,3.5207103325170084,0,132
Macedonia,-1.6704558436986372,3.5207103325170084,0,54
Falkland Islands,-1.6704558436986372,3.5207103325170084,0,215
East Timor,-1.6704558436986372,3.5207103325170084,0,170
South Sudan,-1.6704558436986372,3.5207103325170084,0,138
Kosovo,-1.6704558436986374,3.5207103325170093,0,165
