team,team-id,gol-done,gol-received,win,lost,draw
Belgium,138,9,7,2,2,1
Italy,155,10,8,1,0,3
Austria,137,15,10,2,1,3
Czech Republic,143,9,5,2,1,1
Ireland,154,2,6,0,3,0
United Kingdom,150,3,1,2,1,0
Netherlands,164,3,11,1,3,0
Germany,144,4,2,1,0,2
Switzerland,142,11,12,1,1,3
Denmark,145,4,10,0,3,2
France,149,0,11,0,2,0
Spain,146,6,1,2,0,0
Hungary,153,14,8,2,1,5
Poland,166,6,6,2,1,1
Norway,165,15,10,3,1,2
Sweden,173,13,7,3,2,2
Finland,148,13,14,1,3,0
Bosnia and Herzegovina,139,6,8,1,2,0
Romania,169,3,2,1,0,1
New Zealand,132,7,3,2,0,1
Australia,129,3,7,0,2,1
Estonia,147,3,11,0,1,1
Brazil,22,12,4,4,0,3
Chile,20,1,11,0,4,1
Uruguay,29,7,3,4,1,2
Paraguay,26,6,9,2,3,1
Latvia,160,1,1,0,0,1
Argentina,18,10,9,3,5,1
Portugal,167,1,2,0,1,0
