team,team-id,gol-done,gol-received,win,lost,draw
Jordan,47,28,12,8,6,3
Iran,44,33,10,10,1,4
Iraq,46,22,24,6,6,3
South Korea,52,44,4,16,1,3
Saudi Arabia,67,32,11,7,3,1
South Africa,126,26,18,9,4,8
Zambia,127,21,16,8,6,7
China,38,36,12,8,3,5
Oman,61,23,22,7,7,3
Cameroon,85,17,13,6,2,7
Republic of Congo,87,48,40,13,9,9
Australia,129,33,8,10,2,2
Kuwait,53,16,15,3,6,2
Senegal,116,27,14,9,3,2
Gabon,93,18,17,5,7,4
Burkina Faso,80,16,17,4,7,4
Swaziland,120,20,19,5,4,4
Uzbekistan,76,25,19,7,5,1
North Korea,64,18,16,7,5,3
Nigeria,111,14,5,6,3,4
Ivory Coast,84,20,9,9,2,6
Tunisia,123,26,20,5,4,6
Algeria,89,29,13,7,4,2
United Arab Emirates,32,40,15,9,4,2
Qatar,66,37,13,9,5,1
Japan,48,40,7,11,1,5
Palestine,65,18,14,3,4,3
Botswana,82,15,17,5,7,2
Guinea,95,18,20,5,4,4
Mali,105,19,16,4,3,5
Sweden,173,19,11,7,3,2
Canada,2,3,4,1,2,3
Iceland,156,15,14,4,3,4
Equatorial Guinea,103,9,14,4,5,5
Yemen,77,5,18,2,8,2
Finland,148,6,7,3,3,3
Ghana,96,29,16,10,5,3
Chile,20,26,18,8,3,3
United States of America,17,29,19,7,4,3
Suriname,28,5,3,2,1,0
Bangladesh,35,10,34,3,9,3
Sri Lanka,56,2,11,1,5,0
Honduras,8,17,17,4,7,3
Venezuela,30,11,20,3,7,1
Pakistan,62,3,4,1,1,1
Afghanistan,31,26,24,7,6,1
Panama,13,11,16,2,3,7
Kazakhstan,49,4,9,1,4,4
Moldova,163,4,13,0,6,3
Cambodia,51,16,26,4,8,2
East Timor,72,0,43,0,9,0
Mongolia,58,6,0,2,0,0
India,43,15,15,5,5,2
Nepal,60,1,8,0,4,2
Bhutan,37,7,60,2,11,0
Brunei,36,2,13,0,3,0
Taiwan,74,5,9,1,2,0
Lesotho,99,8,17,1,6,6
Denmark,145,11,12,3,4,3
Dominican Republic,5,7,5,1,2,0
Cuba,4,5,26,2,7,2
Guyana,25,5,4,2,1,0
Georgia,41,11,16,3,6,1
Germany,144,20,11,5,3,1
Indonesia,42,2,2,1,1,0
Burundi,79,12,17,4,5,2
Uganda,124,24,4,12,2,2
Ireland,154,24,12,8,2,8
Colombia,21,14,7,5,3,3
Egypt,90,19,3,6,1,0
France,149,17,12,6,4,0
Brazil,22,20,9,9,2,2
Angola,78,15,12,5,5,2
Syria,68,29,13,8,2,1
Tajikistan,70,13,15,2,4,2
Malaysia,59,10,34,3,6,2
Thailand,69,18,9,6,2,2
Guatemala,7,3,14,0,5,2
Haiti,9,7,7,2,3,2
United Kingdom,150,23,5,7,1,2
Lithuania,158,4,18,1,6,1
Gambia,94,5,7,1,2,3
Mauritania,107,16,12,4,5,2
Austria,137,19,6,6,1,1
Macedonia,161,6,10,1,6,2
Belarus,141,8,9,3,3,2
Montenegro,162,9,17,2,6,0
Russia,168,21,7,7,2,1
Slovakia,171,16,9,6,2,1
Luxembourg,159,5,20,2,7,1
Slovenia,172,15,11,3,4,2
Spain,146,14,3,8,1,0
Ukraine,174,14,6,5,2,3
Switzerland,142,24,10,7,2,1
Estonia,147,12,8,5,4,1
Trinidad and Tobago,16,10,11,2,3,2
Bosnia and Herzegovina,139,17,10,5,2,2
Azerbaijan,34,8,12,2,3,3
Belgium,138,24,8,8,1,0
Cyprus,40,7,12,2,4,0
Bulgaria,140,5,11,2,4,1
Italy,155,14,12,4,2,4
Croatia,152,17,5,5,1,2
Norway,165,8,10,3,4,2
Czech Republic,143,14,14,4,4,1
Latvia,160,6,11,0,4,4
Israel,45,7,12,1,5,1
Togo,122,6,10,2,4,2
Morocco,100,18,7,6,3,2
Uruguay,29,15,6,5,3,2
Netherlands,164,15,15,4,4,1
Turkey,73,17,4,7,0,3
Albania,136,10,8,3,2,3
Armenia,33,3,14,0,5,1
Nicaragua,12,12,1,4,0,0
The Bahamas,1,0,3,0,1,0
Mozambique,106,13,14,4,5,2
Hungary,153,14,7,5,1,3
Greece,151,6,10,1,4,4
