team,team-id,gol-done,gol-received,win,lost,draw
Japan,48,17,16,3,3,2
Indonesia,42,2,2,0,0,1
Germany,144,26,21,3,6,3
Italy,155,5,6,0,1,3
Spain,146,17,10,3,1,1
France,149,16,11,3,1,1
Belgium,138,7,19,0,3,2
Guyana,25,4,6,0,2,1
Jamaica,10,6,5,1,1,1
Mexico,11,7,3,3,0,0
Costa Rica,3,8,6,1,2,0
Trinidad and Tobago,16,6,2,3,0,0
Argentina,18,30,18,7,2,2
Chile,20,13,24,3,5,1
Bolivia,19,4,23,0,5,1
Uruguay,29,29,18,5,5,1
Tunisia,123,0,0,0,0,1
Brazil,22,36,18,10,2,2
Peru,27,14,12,2,2,3
Paraguay,26,21,24,4,6,1
Philippines,63,4,14,0,2,0
Taiwan,74,10,5,2,0,0
Ireland,154,10,13,3,3,0
Czech Republic,143,15,11,3,3,1
United Kingdom,150,18,16,3,4,2
Kenya,98,8,0,3,0,1
Hungary,153,25,9,6,1,1
Bosnia and Herzegovina,139,11,11,2,2,2
Netherlands,164,21,16,2,3,2
Switzerland,142,5,20,1,3,0
Turkey,73,2,0,1,0,1
Romania,169,3,4,1,1,0
Malaysia,59,11,10,2,2,0
Bulgaria,140,7,6,3,1,1
Portugal,167,12,13,3,3,0
Poland,166,13,14,1,3,2
Norway,165,10,21,2,4,0
Austria,137,17,15,4,2,0
Sweden,173,24,11,5,2,0
Egypt,90,6,1,2,0,0
Ethiopia,92,0,5,0,2,0
Sudan,114,2,2,1,1,0
United States of America,17,1,8,0,1,0
Suriname,28,10,13,2,3,1
Luxembourg,159,0,1,0,1,0
Denmark,145,11,16,2,3,1
Israel,45,11,15,2,2,3
Finland,148,6,13,1,3,0
New Caledonia,131,5,5,1,1,0
South Korea,52,21,10,5,1,2
India,43,13,13,4,2,2
Russia,168,5,1,3,0,0
China,38,2,2,1,2,0
Uganda,124,2,3,0,1,2
North Korea,64,6,0,2,0,0
Benin,81,1,11,0,2,0
Nigeria,111,13,6,2,1,0
Ghana,96,5,2,1,0,0
Greece,151,1,3,0,1,0
Iran,44,4,1,1,0,1
Ecuador,24,6,11,1,3,1
Pakistan,62,2,5,0,2,1
El Salvador,15,1,0,1,0,0
Honduras,8,1,7,0,2,0
Gambia,94,3,2,1,0,0
