team,team-id,gol-done,gol-received,win,lost,draw
Czech Republic,143,24,11,6,0,2
Switzerland,142,4,12,0,3,1
Italy,155,17,10,3,1,3
United Kingdom,150,25,9,4,1,1
Ireland,154,4,4,1,1,1
Belgium,138,8,28,2,5,0
Netherlands,164,7,7,2,1,2
Portugal,167,5,3,1,1,0
France,149,5,30,0,4,1
Sweden,173,36,11,5,2,2
Austria,137,18,9,4,2,0
Hungary,153,23,16,3,3,0
Bosnia and Herzegovina,139,8,8,2,2,0
Spain,146,5,3,2,1,0
Romania,169,3,6,0,1,1
Bulgaria,140,4,8,0,2,1
Luxembourg,159,2,5,0,1,0
Norway,165,9,16,1,4,0
Denmark,145,8,3,3,0,2
Latvia,160,12,23,2,3,0
Finland,148,7,12,1,3,0
Estonia,147,13,9,3,2,0
Poland,166,3,3,0,0,1
New Zealand,132,5,8,1,2,1
Canada,2,8,5,2,1,1
Uruguay,29,19,6,4,2,0
Argentina,18,16,5,4,1,0
Turkey,73,6,4,1,0,1
Lithuania,158,3,11,0,2,0
China,38,8,2,2,0,0
Japan,48,3,6,1,1,0
Philippines,63,2,5,0,2,0
Germany,144,9,7,1,1,1
Bolivia,19,3,19,0,3,0
Peru,27,4,11,1,2,0
Honduras,8,1,0,1,0,1
El Salvador,15,0,1,0,1,1
Chile,20,2,3,0,1,0
