team,team-id,gol-done,gol-received,win,lost,draw
South Korea,52,10,7,1,1,1
Spain,146,12,7,2,1,2
Belgium,138,14,10,4,1,2
Vietnam,75,3,3,0,0,1
Italy,155,11,6,3,1,1
Portugal,167,5,8,1,2,1
Ireland,154,14,32,3,7,1
Netherlands,164,13,8,3,2,1
Austria,137,16,17,4,3,0
Turkey,73,12,4,3,1,0
Czech Republic,143,14,13,3,3,1
Luxembourg,159,6,10,0,2,1
Brazil,22,46,7,7,1,0
Ecuador,24,7,21,1,6,0
Switzerland,142,15,13,3,3,0
Bolivia,19,13,24,4,3,0
Chile,20,10,14,2,4,1
Colombia,21,4,23,0,5,2
Paraguay,26,21,13,6,2,0
United Kingdom,150,24,13,5,3,0
Peru,27,20,13,5,2,0
Hungary,153,33,14,5,1,2
Uruguay,29,14,20,2,4,1
Haiti,9,14,5,3,1,1
Trinidad and Tobago,16,24,19,4,4,1
France,149,12,21,2,5,2
Ethiopia,92,6,0,1,0,0
Djibouti,88,0,6,0,1,0
Jamaica,10,11,8,3,2,0
Romania,169,9,6,2,1,1
Poland,166,9,17,2,4,0
Cuba,4,6,20,1,6,2
Puerto Rico,14,2,15,0,2,0
Egypt,90,5,4,1,1,0
Suriname,28,7,2,2,1,0
Sweden,173,24,17,4,2,2
Dominican Republic,5,1,0,1,0,0
Greece,151,10,5,1,2,0
Norway,165,6,13,0,3,2
Denmark,145,14,8,5,2,0
Finland,148,6,17,1,3,2
Madagascar,104,4,4,1,1,0
Bosnia and Herzegovina,139,21,12,4,1,2
United States of America,17,8,19,1,3,1
Israel,45,5,12,1,2,0
Cyprus,40,1,3,0,1,0
El Salvador,15,5,4,1,1,0
Panama,13,4,5,1,1,0
Iceland,156,1,5,0,1,0
Guyana,25,1,7,0,2,0
Bulgaria,140,5,9,1,2,1
Mexico,11,17,2,4,0,0
Sierra Leone,117,0,2,0,1,0
Nigeria,111,2,0,1,0,0
Lithuania,158,3,1,2,0,0
Estonia,147,1,2,0,1,0
Albania,136,3,7,0,2,2
Latvia,160,0,1,0,1,0
Syria,68,0,15,0,2,0
Kenya,98,3,4,1,1,0
