team,team-id,gol-done,gol-received,win,lost,draw
Oman,61,16,9,7,3,7
Niger,110,9,19,2,6,3
Togo,122,10,16,3,6,1
Qatar,66,40,23,13,7,4
United Arab Emirates,32,36,8,12,0,1
Zambia,127,29,23,7,7,13
Angola,78,15,10,5,3,5
Kenya,98,21,9,8,2,5
Burundi,79,6,7,1,3,2
Kuwait,53,29,12,10,3,4
Yemen,77,4,25,0,9,0
Saudi Arabia,67,16,15,6,5,2
Iraq,46,17,22,7,9,4
Tunisia,123,18,18,4,3,7
Ethiopia,92,17,22,7,7,3
South Africa,126,29,14,10,4,6
Norway,165,10,17,3,7,3
Morocco,100,13,12,3,2,7
Nigeria,111,41,22,12,4,7
Gabon,93,7,6,2,3,4
Ghana,96,41,21,11,4,4
Egypt,90,36,25,9,5,1
Panama,13,31,22,8,6,8
Guatemala,7,3,17,0,5,4
Namibia,109,12,14,3,6,4
Algeria,89,18,12,7,3,3
Botswana,82,18,19,6,5,3
Ivory Coast,84,33,23,8,4,4
Lebanon,55,13,25,2,7,9
Swaziland,120,0,22,0,7,1
Burkina Faso,80,24,19,9,8,3
Costa Rica,3,28,11,13,5,4
Belize,0,3,15,1,6,3
Nicaragua,12,2,5,0,2,1
Honduras,8,23,29,8,8,6
El Salvador,15,7,17,2,5,3
Chile,20,33,14,9,2,3
Haiti,9,7,20,1,7,1
Republic of Congo,87,13,16,4,5,9
Mali,105,16,20,4,7,4
Sweden,173,24,19,7,5,3
North Korea,64,5,5,1,1,3
Thailand,69,14,23,2,7,1
Finland,148,14,14,5,4,3
United States of America,17,45,23,15,4,3
Canada,2,1,15,0,9,3
China,38,21,20,5,5,4
Jordan,47,22,15,9,2,7
Indonesia,42,8,15,2,6,1
Uzbekistan,76,19,8,6,2,4
Azerbaijan,34,11,8,3,2,7
Romania,169,22,19,5,4,3
Poland,166,22,16,5,5,3
Armenia,33,11,12,3,4,2
Luxembourg,159,9,23,2,5,3
Albania,136,11,9,3,4,3
Georgia,41,4,14,1,6,1
Belgium,138,18,11,7,2,2
Slovakia,171,10,10,2,3,6
Philippines,63,16,10,5,3,1
Croatia,152,17,11,6,4,2
South Korea,52,16,18,5,6,4
Cyprus,40,1,10,0,5,2
Republic of Serbia,170,18,9,5,3,2
United Kingdom,150,27,11,6,2,4
Brazil,22,49,15,13,2,4
France,149,20,12,5,5,2
Germany,144,35,15,9,1,2
Greece,151,13,5,7,1,2
Switzerland,142,12,7,5,1,3
Hungary,153,14,17,3,2,4
Belarus,141,15,14,4,5,4
Iceland,156,14,15,4,3,3
Russia,168,18,8,5,2,3
India,43,15,13,5,4,2
Palestine,65,17,7,4,3,2
Iran,44,22,6,7,1,1
Ireland,154,25,25,6,9,7
Israel,45,13,12,3,2,4
Japan,48,33,33,8,8,3
Latvia,160,10,25,1,6,4
Libya,97,20,10,9,4,5
Laos,54,8,11,1,3,2
Macedonia,161,9,15,3,7,0
Denmark,145,21,16,6,3,2
Mexico,11,28,24,8,7,7
Jamaica,10,5,16,0,7,5
Moldova,163,15,16,3,4,3
Kazakhstan,49,10,16,3,5,1
Nepal,60,11,9,3,5,2
Pakistan,62,9,15,4,6,2
Netherlands,164,30,7,7,0,5
Italy,155,32,25,6,2,10
Ukraine,174,33,5,9,1,2
Syria,68,7,9,1,5,1
Portugal,167,23,15,7,2,3
Ecuador,24,20,17,4,5,4
Malaysia,59,4,17,1,7,1
Australia,129,19,25,4,5,3
Rwanda,112,6,13,2,8,3
Uganda,124,18,18,7,5,3
Estonia,147,13,20,4,6,3
Slovenia,172,14,10,6,4,0
Bosnia and Herzegovina,139,21,10,6,3,0
Spain,146,36,12,12,2,3
Uruguay,29,34,19,9,5,3
Argentina,18,26,11,7,1,4
Cameroon,85,12,6,5,3,4
Turkey,73,20,13,6,3,3
Czech Republic,143,15,9,5,3,2
Vietnam,75,4,15,1,5,0
Austria,137,17,12,5,4,1
Zimbabwe,128,17,18,6,5,5
Gambia,94,2,10,1,4,1
Mauritania,107,5,3,3,2,3
Afghanistan,31,15,5,6,1,2
Sri Lanka,56,11,20,2,4,0
Taiwan,74,3,3,1,1,0
Mongolia,58,1,5,0,2,1
Bangladesh,35,8,6,2,3,1
Senegal,116,8,13,2,3,4
Kyrgyzstan,50,7,14,3,4,2
Tajikistan,70,14,4,5,1,0
Malawi,108,6,8,2,3,4
Venezuela,30,10,14,3,3,3
Bulgaria,140,14,9,4,4,1
Colombia,21,16,7,6,2,3
Bolivia,19,7,22,0,4,5
Montenegro,162,11,17,2,3,3
New Zealand,132,7,7,3,2,1
New Caledonia,131,2,2,1,1,0
Peru,27,12,12,4,4,3
Lithuania,158,9,12,2,5,2
Solomon Islands,134,0,4,0,2,0
Turkmenistan,71,7,1,1,1,0
Cambodia,51,0,18,0,4,0
Paraguay,26,14,18,1,4,3
Trinidad and Tobago,16,13,17,4,5,4
Central African Republic,83,3,10,0,4,1
Sierra Leone,117,6,7,1,2,1
Dominican Republic,5,3,5,1,1,0
Equatorial Guinea,103,5,13,0,4,2
Sudan,114,12,18,4,6,3
Lesotho,99,13,19,2,5,3
Liberia,101,4,7,2,3,0
Mozambique,106,8,15,2,4,5
Guinea,95,14,10,3,2,2
Benin,81,6,8,1,2,1
Cuba,4,6,13,1,3,0
Greenland,6,21,4,2,2,0
Falkland Islands,23,8,18,2,2,0
Bhutan,37,4,16,0,3,0
Suriname,28,5,1,2,0,0
South Sudan,115,2,7,0,3,0
Somalia,119,0,7,0,3,0
Eritrea,91,0,7,0,3,0
