team,team-id,gol-done,gol-received,win,lost,draw
El Salvador,15,6,17,2,5,1
Guatemala,7,20,16,3,1,4
Costa Rica,3,15,10,3,2,1
Panama,13,19,17,4,3,0
Ireland,154,10,16,1,6,0
Suriname,28,11,8,3,2,1
Trinidad and Tobago,16,10,1,3,1,2
Belgium,138,11,11,1,1,4
Netherlands,164,7,5,2,0,3
Spain,146,7,4,2,0,1
Portugal,167,2,2,1,1,0
Bulgaria,140,6,7,2,2,1
Poland,166,7,17,2,3,2
France,149,13,10,2,2,1
Italy,155,3,5,1,1,0
Uruguay,29,5,3,1,0,1
Brazil,22,3,5,0,1,1
United Kingdom,150,19,2,5,0,1
Austria,137,13,12,4,3,0
Switzerland,142,12,21,2,3,2
Czech Republic,143,7,14,1,5,1
Hungary,153,33,13,6,2,1
Greece,151,2,5,0,2,0
Turkey,73,6,4,2,1,1
Romania,169,6,18,2,3,1
Albania,136,1,0,1,0,2
Republic of Congo,87,2,3,0,1,0
Zambia,127,3,6,1,1,0
Norway,165,20,9,3,2,1
Djibouti,88,1,2,0,1,0
Ethiopia,92,2,1,1,0,0
Jamaica,10,9,3,3,1,1
Cuba,4,1,4,0,1,1
Sweden,173,12,10,3,2,1
Denmark,145,12,3,2,2,1
Finland,148,2,10,0,4,1
Bosnia and Herzegovina,139,4,1,2,0,1
Iceland,156,2,0,1,0,0
Madagascar,104,3,5,1,1,0
United States of America,17,3,17,1,2,0
New Zealand,132,1,25,0,4,0
Australia,129,25,1,4,0,0
Zimbabwe,128,4,0,1,0,0
Kenya,98,4,3,1,1,0
Uganda,124,8,1,2,0,0
Guyana,25,9,19,1,4,0
Latvia,160,0,1,0,1,0
Lithuania,158,3,1,2,0,0
Israel,45,1,3,0,1,0
Estonia,147,1,2,0,1,0
Haiti,9,2,14,1,5,1
Iran,44,1,1,0,0,1
Egypt,90,1,1,0,0,1
