team,team-id,gol-done,gol-received,win,lost,draw
Lebanon,55,13,24,2,9,1
Egypt,90,36,17,12,3,2
Namibia,109,16,29,4,9,2
Tunisia,123,24,15,7,4,5
Zambia,127,18,19,6,6,4
Nigeria,111,17,6,8,3,2
Sudan,114,14,29,4,9,2
Mali,105,15,14,5,5,2
Qatar,66,25,32,9,9,5
Iran,44,31,11,12,2,7
United Arab Emirates,32,17,25,2,8,8
China,38,19,21,5,7,7
Guinea,95,27,20,7,4,4
Kuwait,53,11,21,1,8,5
Ivory Coast,84,33,18,9,4,5
Morocco,100,35,14,10,3,1
Senegal,116,18,15,4,2,6
Angola,78,21,18,4,4,6
Costa Rica,3,20,10,6,2,3
Sweden,173,10,15,4,7,3
South Africa,126,23,17,8,5,4
Mozambique,106,17,13,6,6,2
Syria,68,21,27,6,7,6
Benin,81,16,25,4,8,0
Puerto Rico,14,8,8,3,1,2
Botswana,82,9,15,3,7,2
United States of America,17,30,8,9,3,2
Ghana,96,25,16,9,6,2
Guyana,25,16,32,2,12,4
Belize,0,4,14,1,4,1
El Salvador,15,31,13,7,6,7
Cameroon,85,30,13,9,3,1
Iraq,46,10,13,3,5,4
Jordan,47,20,22,5,9,4
Yemen,77,4,5,1,2,2
Haiti,9,17,24,5,8,8
Japan,48,31,13,10,2,7
Chile,20,14,11,7,5,2
Trinidad and Tobago,16,57,27,17,5,8
Oman,61,26,18,10,5,6
Bosnia and Herzegovina,139,20,14,4,4,1
South Korea,52,26,10,8,1,6
Canada,2,14,19,2,5,3
Saudi Arabia,67,32,15,12,3,3
Luxembourg,159,7,17,1,5,3
Belarus,141,14,14,3,4,4
Iceland,156,13,12,5,5,2
Armenia,33,7,17,3,5,2
Azerbaijan,34,6,9,2,5,4
Kazakhstan,49,5,22,1,7,1
Venezuela,30,19,21,6,6,4
Australia,129,18,6,8,2,3
Austria,137,19,25,2,7,4
Germany,144,36,16,11,3,2
Bolivia,19,14,15,5,4,2
Peru,27,8,21,2,6,2
Burundi,79,5,9,2,4,1
Rwanda,112,9,5,4,2,1
Croatia,152,19,13,7,2,4
Netherlands,164,33,13,11,2,2
Cyprus,40,6,12,1,4,2
Ukraine,174,10,5,6,1,2
Czech Republic,143,17,14,5,4,3
Poland,166,18,16,7,5,4
United Kingdom,150,25,8,8,1,1
Switzerland,142,21,16,7,5,1
Georgia,41,8,18,1,6,3
Latvia,160,14,10,5,3,2
Greece,151,21,13,7,5,2
Finland,148,9,14,2,5,2
Honduras,8,23,9,8,2,2
Paraguay,26,12,12,5,3,5
Hungary,153,14,10,4,2,4
Slovakia,171,14,13,4,5,1
Ireland,154,17,15,5,6,5
Brazil,22,18,8,6,2,2
Israel,45,12,9,4,1,3
Romania,169,14,10,5,3,3
