team,team-id,gol-done,gol-received,win,lost,draw
Mauritania,107,4,11,0,3,0
Guinea,95,15,15,2,4,3
Mali,105,10,7,4,2,1
Senegal,116,13,13,5,5,2
Gambia,94,5,8,1,3,2
Rwanda,112,2,2,0,0,1
Gabon,93,5,7,1,2,1
Cyprus,40,2,15,0,5,1
Bulgaria,140,8,15,4,6,0
Ivory Coast,84,16,11,4,6,0
Togo,122,14,14,5,2,2
Liberia,101,9,5,3,0,3
Israel,45,4,2,1,1,0
Austria,137,16,7,5,0,3
Iraq,46,19,2,6,0,1
Finland,148,7,10,2,4,3
United Kingdom,150,23,6,7,1,2
Ireland,154,16,30,5,10,2
Libya,97,3,7,1,1,2
Greece,151,4,9,1,2,2
Germany,144,38,20,12,5,4
Poland,166,20,6,6,2,3
Tunisia,123,7,3,2,1,0
Italy,155,9,6,3,1,1
Netherlands,164,12,8,4,2,2
France,149,17,4,5,1,0
Luxembourg,159,1,14,0,4,1
Turkey,73,5,5,3,2,1
Algeria,89,1,0,1,0,0
Trinidad and Tobago,16,6,10,2,3,2
Japan,48,13,6,5,1,2
South Korea,52,33,4,5,1,0
Bangladesh,35,5,18,1,3,0
Afghanistan,31,2,3,0,1,0
Qatar,66,6,5,2,1,1
Czech Republic,143,20,9,6,3,0
Spain,146,7,9,1,3,2
Romania,169,10,12,2,4,2
Kuwait,53,5,1,2,0,0
Saudi Arabia,67,2,3,1,1,0
United Arab Emirates,32,5,2,1,1,1
Belgium,138,10,4,4,1,2
Hungary,153,12,10,3,2,3
Switzerland,142,6,15,2,5,0
Russia,168,27,15,9,2,4
Bosnia and Herzegovina,139,19,4,6,0,0
Oman,61,0,12,0,3,0
Benin,81,7,21,2,7,1
Republic of Congo,87,31,26,8,5,1
Malawi,108,26,10,9,4,2
Zambia,127,15,8,5,1,1
Sweden,173,18,16,4,5,3
Argentina,18,17,16,3,4,4
Angola,78,3,3,2,2,0
Madagascar,104,7,4,2,1,0
Kenya,98,12,12,3,3,3
Denmark,145,11,11,3,4,2
North Korea,64,9,2,4,0,2
United States of America,17,7,13,2,3,0
Indonesia,42,3,17,1,5,3
Malaysia,59,6,9,1,3,2
Norway,165,4,16,1,6,0
Portugal,167,6,6,2,2,1
Thailand,69,12,9,3,4,1
Brazil,22,21,10,4,2,2
Paraguay,26,20,19,6,3,5
Mozambique,106,0,6,0,1,0
Zimbabwe,128,6,0,1,0,0
Iceland,156,2,16,0,6,0
Uruguay,29,8,14,2,4,2
Jamaica,10,4,9,2,2,0
Chile,20,16,10,5,4,4
Ecuador,24,9,11,3,4,1
New Zealand,132,14,1,5,0,0
Australia,129,0,1,0,1,0
Ghana,96,1,3,0,1,1
Lesotho,99,2,5,1,2,0
Fiji,130,29,9,2,2,0
Sudan,114,8,18,3,3,1
Bolivia,19,8,11,3,3,1
Peru,27,11,12,3,5,2
Colombia,21,7,4,3,2,1
Kyrgyzstan,50,0,0,0,0,1
Lithuania,158,4,11,2,4,1
Belarus,141,7,7,2,3,2
Armenia,33,0,3,0,1,0
Georgia,41,5,0,1,0,0
Latvia,160,1,2,0,1,0
Azerbaijan,34,0,1,0,1,0
Ukraine,174,2,0,1,0,1
Venezuela,30,1,12,0,2,2
Kazakhstan,49,1,0,1,0,0
Vanuatu,135,13,1,3,0,0
Solomon Islands,134,12,3,3,0,0
New Caledonia,131,24,7,2,2,0
Papua New Guinea,133,15,5,1,2,0
Palestine,65,0,0,0,0,1
Sri Lanka,56,1,12,0,3,1
Haiti,9,15,2,7,0,0
Nigeria,111,10,3,2,0,3
Sierra Leone,117,3,0,2,0,1
Burkina Faso,80,5,8,0,2,0
India,43,0,0,0,0,1
Niger,110,3,2,1,0,1
Mexico,11,4,1,2,0,1
Uganda,124,5,10,0,3,0
Suriname,28,5,4,1,2,0
Taiwan,74,3,0,1,0,0
Cameroon,85,5,4,2,1,0
El Salvador,15,1,3,0,1,1
