team,team-id,gol-done,gol-received,win,lost,draw
Greece,151,23,20,6,5,1
Ghana,96,19,7,6,1,1
Gambia,94,1,7,0,1,0
Libya,97,4,1,3,1,0
Morocco,100,5,7,2,2,1
Spain,146,17,6,7,3,2
Italy,155,15,13,7,4,3
Sudan,114,5,1,2,0,0
Kenya,98,5,17,4,6,1
Zambia,127,60,18,11,4,2
Republic of Congo,87,2,10,0,5,1
Gabon,93,2,3,0,1,1
Nigeria,111,9,5,3,1,2
Swaziland,120,5,22,0,3,0
Israel,45,5,3,2,1,1
Denmark,145,13,15,2,3,3
France,149,20,11,7,2,2
Benin,81,0,5,0,2,0
Burkina Faso,80,12,12,3,3,1
El Salvador,15,1,5,0,1,0
Mexico,11,15,17,3,5,0
Austria,137,15,17,6,6,1
Ivory Coast,84,1,3,0,1,0
Iraq,46,16,6,7,2,3
Algeria,89,10,9,3,4,3
Germany,144,31,23,8,5,7
United Kingdom,150,17,9,6,1,2
Netherlands,164,32,15,9,3,2
Bulgaria,140,9,18,0,6,6
Russia,168,30,9,9,2,0
Syria,68,7,17,1,7,0
North Korea,64,0,1,0,1,0
Uganda,124,15,17,5,5,1
Tunisia,123,8,15,2,6,3
Portugal,167,5,4,3,1,1
Switzerland,142,4,9,1,4,0
Lesotho,99,2,4,1,3,0
Argentina,18,28,9,10,2,1
Peru,27,13,22,4,6,2
Belgium,138,3,3,1,1,3
Czech Republic,143,12,12,3,5,2
Luxembourg,159,2,6,0,2,0
Poland,166,23,10,10,3,1
Turkey,73,3,9,0,4,1
Romania,169,10,11,3,4,3
Norway,165,5,12,0,4,3
Venezuela,30,0,1,0,1,0
China,38,8,4,4,2,0
Brazil,22,17,5,7,1,4
Sweden,173,11,12,3,4,3
Iran,44,7,13,1,5,3
Bosnia and Herzegovina,139,7,6,1,2,2
Ireland,154,13,13,3,3,6
Finland,148,10,24,2,5,1
Hungary,153,10,19,2,6,1
Puerto Rico,14,6,6,1,2,1
Uruguay,29,2,3,1,1,1
Malaysia,59,10,15,1,3,4
Guyana,25,11,24,2,7,0
Thailand,69,19,21,5,5,3
Trinidad and Tobago,16,20,11,4,2,2
Japan,48,14,21,3,6,1
Australia,129,1,3,0,2,0
Indonesia,42,10,17,4,5,2
Malawi,108,30,15,9,3,2
South Korea,52,38,6,13,0,1
Iceland,156,1,8,0,3,2
Jamaica,10,1,3,0,2,0
Sierra Leone,117,2,9,0,2,0
Suriname,28,17,1,7,0,0
Vanuatu,135,2,4,0,1,0
New Caledonia,131,5,4,1,1,0
Angola,78,3,3,0,0,1
Haiti,9,5,6,2,1,4
United States of America,17,0,3,0,2,1
Lebanon,55,1,7,0,1,0
Yemen,77,0,2,0,1,0
Botswana,82,1,6,0,2,0
Mozambique,106,6,1,2,0,0
New Zealand,132,2,0,1,0,0
Somalia,119,3,10,0,3,1
Mali,105,1,3,0,1,0
Madagascar,104,3,6,1,1,0
Cyprus,40,0,5,0,1,0
Philippines,63,0,8,0,2,0
