team,team-id,gol-done,gol-received,win,lost,draw
Czech Republic,143,18,16,3,4,1
Haiti,9,5,11,1,2,2
Ireland,154,6,10,1,2,1
Belgium,138,14,15,1,3,2
Hungary,153,19,15,5,2,1
United Kingdom,150,9,10,1,2,1
Jamaica,10,8,0,2,0,0
Austria,137,23,7,6,1,0
Netherlands,164,12,17,1,4,1
Italy,155,11,11,2,2,1
Switzerland,142,7,19,1,4,1
France,149,16,12,4,1,1
Portugal,167,5,7,0,1,1
Germany,144,12,10,2,1,1
Romania,169,12,4,3,0,0
Bulgaria,140,2,9,0,2,0
Kenya,98,3,2,1,0,1
Uganda,124,2,3,0,1,1
Turkey,73,2,9,0,2,0
Argentina,18,18,5,4,1,1
Paraguay,26,10,24,1,5,0
Bosnia and Herzegovina,139,8,14,1,3,0
Finland,148,13,19,2,3,1
Norway,165,9,7,1,1,1
Sweden,173,31,30,5,5,2
Denmark,145,10,6,2,1,1
Estonia,147,6,11,2,2,1
Lithuania,158,3,6,0,2,0
Poland,166,17,9,3,2,0
Latvia,160,8,8,2,2,0
Chile,20,14,6,2,1,1
Bolivia,19,2,24,0,4,0
Uruguay,29,17,2,4,0,0
United States of America,17,6,2,1,0,0
Canada,2,2,6,0,1,0
Spain,146,4,2,1,0,0
