team,team-id,gol-done,gol-received,win,lost,draw
Indonesia,42,6,9,1,3,0
Egypt,90,32,12,10,3,2
Uganda,124,22,18,5,6,3
Jamaica,10,20,17,7,3,3
Guyana,25,9,8,2,1,2
Haiti,9,7,10,1,4,2
Cuba,4,10,12,3,4,1
Trinidad and Tobago,16,32,31,12,10,4
Costa Rica,3,37,33,10,9,5
Colombia,21,25,21,6,7,4
South Korea,52,23,14,7,5,6
Malaysia,59,3,5,1,2,0
Guatemala,7,35,42,7,12,5
Paraguay,26,21,17,7,4,1
Azerbaijan,34,2,24,0,9,2
Kuwait,53,12,20,3,6,5
Norway,165,17,12,8,4,4
Sweden,173,24,10,6,2,4
Saudi Arabia,67,20,17,7,5,4
Tajikistan,70,4,3,1,1,0
Ecuador,24,24,21,8,5,4
Panama,13,13,42,3,15,6
Syria,68,9,14,1,3,3
Mexico,11,44,26,13,6,7
Jordan,47,3,6,0,3,2
Japan,48,31,20,11,6,3
Kazakhstan,49,4,23,0,8,1
Turkmenistan,71,0,6,0,2,0
Lebanon,55,1,2,0,1,0
Hungary,153,14,16,3,7,3
Iran,44,17,7,8,2,1
Bosnia and Herzegovina,139,12,11,4,4,2
North Korea,64,39,19,6,8,3
Gabon,93,12,11,4,5,2
Central African Republic,83,0,5,0,2,0
Republic of Congo,87,28,32,6,9,10
Cyprus,40,11,14,4,5,1
Austria,137,11,8,3,2,4
Ivory Coast,84,15,11,4,2,3
Latvia,160,17,22,3,6,6
Finland,148,22,19,6,5,2
Albania,136,10,17,3,6,1
Ukraine,174,12,5,6,1,3
Algeria,89,9,12,2,3,2
Burkina Faso,80,9,12,2,5,1
Moldova,163,4,7,1,4,2
Bulgaria,140,20,16,5,3,3
Republic of Serbia,170,12,9,4,3,5
Cameroon,85,12,5,5,0,2
Senegal,116,19,11,5,2,3
Chile,20,12,14,3,3,3
Belgium,138,17,10,4,3,2
United Kingdom,150,19,11,8,2,1
Netherlands,164,20,5,7,1,3
France,149,19,6,6,0,5
Georgia,41,15,28,3,6,2
Lithuania,158,5,9,2,5,2
Germany,144,32,24,7,3,5
Argentina,18,28,23,8,5,4
Greece,151,12,12,6,5,2
Denmark,145,23,9,7,2,1
Guinea,95,15,16,5,4,2
Mali,105,13,11,3,4,1
Brazil,22,47,14,10,2,4
Ireland,154,17,23,6,8,5
Portugal,167,24,5,8,1,3
Israel,45,14,12,2,1,6
Croatia,152,19,9,5,1,4
Italy,155,20,8,7,0,6
Russia,168,15,8,4,1,5
Macedonia,161,7,18,2,4,2
Morocco,100,13,5,4,1,3
Kenya,98,5,15,1,5,3
Canada,2,7,12,3,5,0
Poland,166,35,15,11,2,1
Belarus,141,10,12,3,4,3
Romania,169,16,9,6,3,1
Slovakia,171,15,13,4,2,6
Slovenia,172,6,14,1,5,3
Czech Republic,143,35,12,9,3,0
South Africa,126,26,29,5,5,6
Australia,129,27,14,7,4,1
Spain,146,29,5,8,0,4
United States of America,17,33,12,13,3,4
United Arab Emirates,32,9,14,2,2,6
Switzerland,142,17,9,6,1,4
Uzbekistan,76,8,12,1,3,4
Venezuela,30,12,15,2,5,3
Estonia,147,13,16,4,6,2
Chad,121,5,7,1,1,1
El Salvador,15,1,6,0,3,0
Belize,0,0,7,0,3,0
Honduras,8,26,16,7,3,4
Nicaragua,12,2,9,1,2,0
Angola,78,13,12,5,4,3
Botswana,82,7,12,1,5,6
Zambia,127,25,14,7,3,5
Madagascar,104,2,2,1,1,0
Malawi,108,14,22,4,5,1
Zimbabwe,128,21,17,7,4,3
Mongolia,58,4,13,1,2,0
Rwanda,112,12,15,4,6,2
Sudan,114,22,26,5,6,2
Ethiopia,92,23,6,6,1,1
Armenia,33,8,16,2,6,1
Lesotho,99,5,9,0,4,0
Namibia,109,3,2,1,0,1
Ghana,96,16,5,5,0,3
Iraq,46,18,9,4,2,4
Bolivia,19,9,17,1,5,1
Uruguay,29,9,11,3,3,5
Iceland,156,16,21,2,6,1
Nigeria,111,15,8,4,1,2
Liberia,101,2,22,0,6,0
China,38,9,12,2,4,3
Tunisia,123,28,12,8,2,2
Turkey,73,24,12,7,2,2
Peru,27,11,16,3,4,3
Libya,97,5,14,1,5,4
Benin,81,3,12,1,4,1
Togo,122,18,12,6,2,1
Luxembourg,159,1,25,0,7,0
Mozambique,106,4,5,2,1,1
Swaziland,120,4,6,1,1,0
New Zealand,132,0,1,0,1,0
Gambia,94,2,4,0,2,0
Sierra Leone,117,6,2,3,1,1
Pakistan,62,6,4,3,3,3
India,43,12,9,5,3,2
Falkland Islands,23,3,18,1,4,0
Greenland,6,8,14,1,2,2
Fiji,130,3,1,2,0,0
Solomon Islands,134,1,9,0,2,0
Cambodia,51,0,2,0,1,0
Qatar,66,0,3,0,1,1
Oman,61,5,7,0,1,3
Puerto Rico,14,1,3,0,1,0
Afghanistan,31,3,15,1,3,0
Djibouti,88,2,18,0,4,0
Somalia,119,4,15,1,3,0
Burundi,79,2,6,0,3,1
Eritrea,91,2,7,0,3,1
Palestine,65,0,6,0,2,0
Sri Lanka,56,1,5,0,3,0
Bangladesh,35,8,3,4,1,2
Bhutan,37,1,9,0,3,0
Nepal,60,4,5,1,2,0
Thailand,69,1,3,0,1,1
