team,team-id,gol-done,gol-received,win,lost,draw
Switzerland,142,16,24,2,6,0
Belgium,138,10,13,2,3,2
Austria,137,19,12,4,1,2
Portugal,167,7,4,1,0,3
Spain,146,3,3,0,0,2
Ireland,154,7,10,2,3,0
France,149,11,15,1,4,1
Netherlands,164,8,10,1,4,2
Guyana,25,1,1,0,0,1
Trinidad and Tobago,16,1,1,0,0,1
Italy,155,14,14,3,1,2
Hungary,153,15,21,2,3,1
United Kingdom,150,14,10,4,1,0
Czech Republic,143,19,6,5,1,0
Argentina,18,3,2,1,0,2
Bosnia and Herzegovina,139,6,9,2,1,0
Turkey,73,3,6,0,2,0
Romania,169,5,5,1,1,0
Germany,144,7,5,3,1,0
Uganda,124,4,0,1,0,0
Kenya,98,0,4,0,1,0
Denmark,145,7,7,2,2,0
Finland,148,7,14,1,3,1
Norway,165,9,11,1,3,0
Sweden,173,20,11,5,3,0
Poland,166,7,7,1,1,1
United States of America,17,3,3,0,0,1
Egypt,90,3,2,1,0,1
Luxembourg,159,1,1,0,0,1
Latvia,160,8,7,3,1,2
Estonia,147,9,5,1,2,2
Lithuania,158,1,10,0,2,1
Paraguay,26,4,2,1,0,1
Uruguay,29,4,7,0,2,2
Belarus,141,9,11,1,2,0
Ukraine,174,6,2,1,0,0
El Salvador,15,5,0,1,0,0
Honduras,8,0,5,0,1,0
