team,team-id,gol-done,gol-received,win,lost,draw
Bosnia and Herzegovina,139,14,8,3,1,1
Spain,146,9,6,1,0,2
Switzerland,142,12,22,0,5,1
Zimbabwe,128,2,1,1,0,0
Zambia,127,1,2,0,1,0
Costa Rica,3,13,5,2,1,1
Nicaragua,12,4,22,0,4,0
Panama,13,14,7,3,1,1
Ireland,154,9,14,2,4,1
Portugal,167,5,12,0,3,1
Italy,155,10,4,2,0,3
United Kingdom,150,16,11,3,1,3
Netherlands,164,17,18,1,2,1
Belgium,138,16,28,1,3,2
Germany,144,14,8,4,2,0
Argentina,18,2,2,1,1,0
France,149,9,12,1,2,3
Denmark,145,8,9,2,2,1
Czech Republic,143,3,4,0,1,1
Romania,169,2,2,0,0,1
Jamaica,10,7,12,2,3,1
Austria,137,19,10,2,1,3
Hungary,153,16,1,3,0,0
Poland,166,0,6,0,1,0
Norway,165,17,14,4,2,1
Sweden,173,15,18,2,5,2
Turkey,73,4,6,2,2,0
Iceland,156,5,6,1,1,0
Madagascar,104,4,8,1,1,0
Finland,148,7,20,0,4,2
Suriname,28,15,1,3,0,0
Guyana,25,1,15,0,3,0
New Caledonia,131,9,9,2,2,0
New Zealand,132,24,13,4,2,0
Kenya,98,4,4,1,1,0
Uganda,124,1,2,0,1,0
Vanuatu,135,0,9,0,1,0
Fiji,130,4,6,0,1,0
Nigeria,111,5,0,1,0,0
Ghana,96,0,5,0,1,0
Luxembourg,159,4,4,1,1,0
Greece,151,1,0,1,0,0
Egypt,90,0,1,0,1,0
Venezuela,30,4,1,1,0,0
Trinidad and Tobago,16,2,0,1,0,0
Haiti,9,4,4,1,1,1
