team,team-id,gol-done,gol-received,win,lost,draw
New Zealand,132,6,17,1,5,0
Cameroon,85,7,5,2,0,9
Republic of Congo,87,1,2,0,1,0
Ethiopia,92,2,8,1,4,2
Greece,151,7,15,2,7,1
Portugal,167,9,10,3,3,0
Benin,81,9,13,1,3,2
Mali,105,15,10,4,3,2
Burkina Faso,80,5,6,1,2,3
Senegal,116,15,16,5,5,7
Brazil,22,31,10,8,1,2
Germany,144,36,29,11,7,7
Libya,97,12,5,4,0,3
Guinea,95,8,6,3,1,5
Niger,110,6,9,0,2,5
Tunisia,123,6,9,2,5,1
Algeria,89,15,12,7,3,2
Gambia,94,6,7,2,2,1
Sierra Leone,117,2,9,1,5,0
Mauritania,107,3,8,1,2,0
Hungary,153,24,14,4,4,1
Ghana,96,33,17,9,0,9
Liberia,101,2,3,1,2,0
Togo,122,13,7,5,1,2
Uganda,124,16,11,5,2,4
Ivory Coast,84,11,11,0,0,5
Bangladesh,35,2,4,0,1,1
Nepal,60,5,5,2,2,1
India,43,5,12,0,4,5
China,38,9,11,2,3,4
Oman,61,6,20,2,6,0
South Korea,52,21,9,5,1,5
Zambia,127,14,6,5,2,1
Botswana,82,0,2,0,1,0
Qatar,66,7,8,2,5,0
Finland,148,13,20,2,5,2
Sweden,173,10,13,1,3,5
Uruguay,29,7,3,2,0,2
United Kingdom,150,34,7,10,1,4
Ireland,154,14,38,3,10,6
France,149,25,19,7,5,2
Italy,155,15,13,4,3,6
Spain,146,14,9,4,2,4
United Arab Emirates,32,15,10,5,3,1
Honduras,8,6,7,1,2,4
Iraq,46,11,3,3,0,3
Czech Republic,143,14,15,2,3,6
Iran,44,2,0,1,0,0
North Korea,64,0,2,0,1,0
Nigeria,111,4,5,1,2,0
Argentina,18,13,10,4,3,3
Switzerland,142,14,11,6,2,2
Russia,168,14,6,5,1,4
Kuwait,53,11,8,5,3,2
Iceland,156,13,12,2,5,3
Japan,48,2,3,1,1,0
Trinidad and Tobago,16,15,14,2,2,3
United States of America,17,2,1,1,0,0
Saudi Arabia,67,9,6,3,2,3
Chile,20,6,10,2,4,0
Peru,27,8,10,3,2,3
Netherlands,164,12,8,3,3,1
Belgium,138,15,10,6,3,2
Romania,169,10,11,4,3,1
Austria,137,22,7,8,2,1
Bhutan,37,1,3,0,1,0
Thailand,69,7,15,1,4,6
Bulgaria,140,23,15,2,5,3
El Salvador,15,5,16,1,3,1
Norway,165,11,11,3,3,2
Cyprus,40,2,6,0,3,1
Denmark,145,11,13,3,4,2
Malaysia,59,12,17,4,4,2
Philippines,63,0,1,0,1,0
Morocco,100,6,6,1,1,2
Zimbabwe,128,16,16,4,5,4
Poland,166,19,9,5,2,3
Bosnia and Herzegovina,139,8,9,2,2,2
Mozambique,106,1,1,0,0,1
Suriname,28,3,2,1,0,0
Malawi,108,10,4,4,2,1
Indonesia,42,4,4,1,1,2
Pakistan,62,1,4,0,1,0
Burundi,79,1,0,1,0,0
Rwanda,112,1,1,1,1,0
Somalia,119,0,1,0,1,0
Albania,136,0,6,0,2,1
Turkey,73,1,9,1,2,0
Egypt,90,3,5,0,1,1
Brunei,36,0,11,0,2,0
Luxembourg,159,1,13,0,3,0
Australia,129,7,0,2,0,0
Angola,78,2,5,0,2,0
Kenya,98,7,4,2,0,2
Sudan,114,0,3,0,2,0
