team,team-id,gol-done,gol-received,win,lost,draw
Finland,148,15,13,5,5,1
Egypt,90,20,11,7,4,4
Ghana,96,9,13,3,6,3
Albania,136,4,15,1,4,4
Macedonia,161,17,16,2,3,5
Kuwait,53,11,19,2,4,4
Zimbabwe,128,10,10,4,3,2
Cuba,4,9,4,3,2,2
Guatemala,7,2,5,1,3,1
Mali,105,20,14,7,3,4
Haiti,9,10,7,3,2,1
Burkina Faso,80,6,10,0,3,4
Cameroon,85,20,10,8,2,5
Iceland,156,8,14,2,5,2
Qatar,66,12,8,5,3,1
Zambia,127,9,9,2,4,5
Saudi Arabia,67,22,26,9,6,3
Trinidad and Tobago,16,7,7,2,3,2
Iraq,46,18,8,7,1,2
Oman,61,5,5,2,2,0
Tunisia,123,4,12,0,6,8
Ecuador,24,13,13,6,6,3
Ivory Coast,84,7,5,1,2,3
Nigeria,111,22,12,9,3,8
Morocco,100,23,10,7,2,2
Guinea,95,4,4,1,3,0
Algeria,89,13,8,3,2,4
Benin,81,5,5,1,1,1
South Africa,126,26,18,9,4,10
Angola,78,3,5,1,3,2
Gambia,94,2,7,2,2,0
United Arab Emirates,32,3,6,1,3,0
Canada,2,9,8,3,2,2
Costa Rica,3,18,20,4,5,5
El Salvador,15,1,7,1,3,0
Mexico,11,17,8,8,2,2
Liberia,101,3,7,0,2,2
United States of America,17,33,18,11,6,2
South Korea,52,25,23,6,8,9
Republic of Congo,87,15,12,4,4,4
Senegal,116,22,14,9,2,6
Togo,122,0,10,0,3,2
Brazil,22,40,9,13,1,1
Bolivia,19,3,13,0,4,1
Iran,44,13,9,4,2,4
Slovakia,171,11,17,2,5,2
North Korea,64,7,5,2,1,3
Lithuania,158,7,17,2,5,1
Moldova,163,3,12,1,6,1
Jordan,47,27,15,10,4,4
Poland,166,16,17,6,6,1
Thailand,69,20,9,5,2,3
Cyprus,40,8,11,1,3,2
Switzerland,142,15,11,4,1,3
Czech Republic,143,23,7,7,0,3
Hungary,153,13,14,3,4,3
Slovenia,172,10,17,4,5,2
Honduras,8,9,8,2,1,1
Turkey,73,26,11,9,4,3
Belgium,138,14,12,6,2,5
Norway,165,10,5,4,2,4
Croatia,152,8,6,4,3,4
Bulgaria,140,8,8,3,3,2
France,149,26,10,7,3,3
Romania,169,17,7,4,4,0
Germany,144,46,17,11,4,3
Israel,45,16,14,4,2,0
Greece,151,8,7,3,2,3
Sweden,173,17,19,1,3,10
Ireland,154,21,24,5,6,7
Russia,168,16,14,3,4,4
Italy,155,14,13,4,5,4
Luxembourg,159,3,22,0,5,3
Republic of Serbia,170,12,16,4,5,2
Netherlands,164,14,2,6,0,1
United Kingdom,150,20,13,4,2,7
Paraguay,26,13,16,3,3,5
Denmark,145,20,13,9,2,2
Spain,146,23,8,7,1,5
Portugal,167,18,14,4,3,4
Uruguay,29,14,14,3,4,3
Argentina,18,8,5,3,1,3
China,38,5,16,1,5,4
Venezuela,30,5,1,3,1,1
Botswana,82,10,9,3,4,2
Swaziland,120,12,16,4,4,4
New Caledonia,131,26,18,3,4,0
Lesotho,99,2,8,1,5,1
Papua New Guinea,133,22,14,4,2,1
Estonia,147,12,6,6,2,3
Namibia,109,2,6,0,3,0
Madagascar,104,4,3,2,1,1
Sri Lanka,56,10,8,3,1,5
Pakistan,62,2,4,0,2,2
Japan,48,15,14,5,3,5
Ukraine,174,10,12,3,4,3
Azerbaijan,34,2,9,1,5,2
Austria,137,10,13,3,4,1
Belize,0,10,2,2,0,0
Guyana,25,4,7,1,3,1
Bosnia and Herzegovina,139,5,14,0,4,2
Georgia,41,6,10,1,3,0
Latvia,160,10,7,4,2,2
Mozambique,106,7,10,2,2,3
Yemen,77,6,14,0,3,2
Ethiopia,92,6,19,1,7,3
Nicaragua,12,2,7,1,1,0
Belarus,141,12,12,3,3,1
Kazakhstan,49,2,3,0,1,1
Chile,20,3,3,1,1,0
Malawi,108,14,9,7,2,1
Kenya,98,24,12,7,2,6
Colombia,21,3,4,1,2,1
Uzbekistan,76,1,6,0,2,0
Jamaica,10,15,10,5,2,4
Malaysia,59,16,13,3,5,3
Armenia,33,4,4,1,1,1
Bhutan,37,4,0,1,0,0
New Zealand,132,25,7,5,2,0
Solomon Islands,134,3,9,0,2,1
Australia,129,23,2,4,1,0
Vanuatu,135,2,6,2,3,0
Fiji,130,2,10,1,2,0
Puerto Rico,14,0,6,0,2,0
Syria,68,18,24,4,8,1
Taiwan,74,2,8,0,2,0
Uganda,124,21,14,7,4,5
Sudan,114,16,16,5,6,3
Chad,121,4,10,1,3,0
Suriname,28,10,1,3,0,1
Dominican Republic,5,12,9,2,3,0
Rwanda,112,8,10,4,3,1
Gabon,93,0,4,0,3,1
Sierra Leone,117,7,3,3,1,0
Libya,97,9,4,3,1,0
India,43,0,3,0,1,1
Palestine,65,8,13,0,3,3
Lebanon,55,6,11,1,4,2
Mauritania,107,1,6,0,3,0
Niger,110,7,10,1,1,2
Equatorial Guinea,103,1,8,0,2,0
Eritrea,91,5,9,1,3,2
Central African Republic,83,1,1,0,0,1
Indonesia,42,23,8,3,0,4
Vietnam,75,27,18,5,2,3
Burundi,79,3,6,0,2,2
Somalia,119,1,4,1,3,0
Cambodia,51,5,23,1,4,0
Philippines,63,3,26,0,5,0
Laos,54,3,8,0,2,1
