team,team-id,gol-done,gol-received,win,lost,draw
Palestine,65,9,9,1,3,0
Iraq,46,10,6,3,1,3
Egypt,90,5,4,2,1,2
Kuwait,53,24,14,6,3,1
Libya,97,3,7,0,2,1
Syria,68,9,6,4,1,0
Yemen,77,5,7,2,2,0
Zambia,127,11,6,1,0,4
China,38,17,9,4,0,3
Algeria,89,18,15,7,4,0
Qatar,66,7,31,0,8,0
Burkina Faso,80,3,3,0,0,1
Nigeria,111,36,14,11,1,4
Senegal,116,2,7,0,3,2
Republic of Congo,87,40,30,8,5,7
Guinea,95,11,13,2,3,3
Spain,146,7,3,3,0,3
Hungary,153,11,12,2,4,4
Somalia,119,1,3,0,1,0
Togo,122,10,12,1,2,4
Benin,81,8,22,1,4,1
Mexico,11,19,9,8,2,0
Chile,20,10,16,3,5,0
Haiti,9,26,7,5,0,2
Cameroon,85,11,7,3,2,1
Greece,151,4,10,2,3,1
Netherlands,164,19,1,4,0,1
Ireland,154,12,16,4,5,2
Morocco,100,8,8,2,1,4
Tunisia,123,10,8,2,2,1
Austria,137,14,8,3,1,3
Kenya,98,15,13,4,4,3
Israel,45,2,1,1,0,0
Norway,165,6,18,1,5,1
Mali,105,13,15,2,2,3
Sudan,114,5,15,1,4,2
Italy,155,13,9,2,2,4
Saudi Arabia,67,12,3,3,0,1
United Arab Emirates,32,1,13,1,3,0
Bulgaria,140,11,4,3,1,2
Russia,168,17,17,6,5,4
Colombia,21,4,8,0,2,1
Peru,27,12,19,3,7,2
Germany,144,29,7,9,1,2
Portugal,167,22,5,8,1,1
Cyprus,40,0,9,0,3,0
Jamaica,10,5,0,2,0,1
Cuba,4,0,2,0,1,0
Czech Republic,143,13,11,3,4,2
Poland,166,5,1,2,0,1
Romania,169,15,12,2,1,6
France,149,8,7,3,2,1
Puerto Rico,14,1,17,1,3,1
Ghana,96,16,10,2,2,2
Ivory Coast,84,5,1,3,0,0
Brazil,22,8,2,4,0,1
Paraguay,26,14,7,3,2,1
Luxembourg,159,2,13,1,3,0
Switzerland,142,3,7,0,1,4
Sweden,173,18,10,3,2,3
United Kingdom,150,7,5,3,2,2
Belgium,138,15,4,5,1,2
Madagascar,104,3,2,1,1,0
Lesotho,99,3,13,0,3,3
Bosnia and Herzegovina,139,29,22,6,4,5
Ethiopia,92,4,2,1,1,2
Iran,44,15,12,5,3,1
Cambodia,51,30,26,8,8,3
South Korea,52,39,18,12,5,7
Thailand,69,29,27,6,9,6
Iceland,156,6,17,1,4,0
Uganda,124,10,5,3,1,1
Uruguay,29,2,6,1,4,2
Argentina,18,15,12,5,3,2
Finland,148,3,10,1,2,3
Liberia,101,3,7,0,2,1
Sierra Leone,117,5,11,1,4,1
Panama,13,5,1,1,1,1
Indonesia,42,22,23,6,7,4
Denmark,145,10,11,2,3,1
Philippines,63,11,35,3,8,1
Sri Lanka,56,13,41,1,10,0
Laos,54,3,11,0,3,0
Malaysia,59,17,20,6,7,3
Bolivia,19,4,12,0,2,2
Ecuador,24,4,9,0,3,1
Venezuela,30,3,17,0,3,1
Albania,136,0,3,0,2,0
Malawi,108,7,2,3,1,0
Japan,48,16,8,3,2,1
Costa Rica,3,10,9,3,2,3
Canada,2,8,9,1,2,2
United States of America,17,6,10,0,3,1
Guatemala,7,5,3,2,0,3
New Zealand,132,9,9,2,2,1
New Caledonia,131,5,7,1,2,0
Trinidad and Tobago,16,23,6,6,0,1
El Salvador,15,0,5,0,4,0
Turkey,73,3,3,1,2,0
Australia,129,17,3,5,0,1
Nepal,60,2,6,0,1,0
Suriname,28,11,4,2,1,1
Honduras,8,5,4,1,0,1
