team,team-id,gol-done,gol-received,win,lost,draw
Ecuador,24,9,15,3,5,2
Northern Cyprus,39,0,1,0,1,0
Turkey,73,9,14,3,7,0
Saudi Arabia,67,0,5,0,2,0
Iran,44,20,11,8,3,5
Paraguay,26,20,16,6,5,4
Tunisia,123,16,14,5,5,3
Morocco,100,14,12,3,3,3
Algeria,89,4,4,1,1,2
Bulgaria,140,12,11,4,3,3
Uruguay,29,11,8,3,2,4
Colombia,21,2,14,0,5,2
Guinea,95,8,5,4,2,0
Ghana,96,9,4,3,2,0
Venezuela,30,3,8,1,3,1
Brazil,22,26,5,7,0,6
Republic of Congo,87,12,14,1,3,2
Gabon,93,3,8,0,2,1
Uganda,124,9,6,4,1,2
Iraq,46,13,3,3,1,4
Cameroon,85,2,2,0,0,1
Chile,20,11,12,3,4,1
Israel,45,11,9,2,1,5
Greece,151,3,18,1,5,3
Italy,155,16,6,5,2,0
Belgium,138,5,9,1,5,0
Malawi,108,24,16,7,3,3
Bosnia and Herzegovina,139,15,23,3,7,2
Cyprus,40,2,10,0,4,0
Gambia,94,1,4,0,1,0
Denmark,145,18,19,5,5,0
Mexico,11,34,12,8,1,3
Mozambique,106,1,4,0,2,0
France,149,12,4,4,1,3
Romania,169,21,13,5,3,2
Senegal,116,8,8,3,2,0
Bolivia,19,13,30,3,6,2
Kenya,98,8,11,1,4,2
Egypt,90,10,11,4,2,2
United Kingdom,150,13,7,4,3,4
Netherlands,164,10,1,5,0,1
Ireland,154,9,16,3,7,3
Spain,146,7,3,4,1,1
Peru,27,23,14,5,3,4
Hungary,153,33,20,9,3,3
Thailand,69,27,41,3,8,5
Australia,129,22,13,6,5,4
Ivory Coast,84,15,11,5,2,1
Togo,122,1,8,0,4,0
Zambia,127,28,14,7,4,2
Nigeria,111,20,7,4,2,2
Benin,81,0,7,0,1,0
South Korea,52,54,16,15,1,9
Panama,13,0,5,0,2,0
Germany,144,42,16,13,2,6
Argentina,18,17,11,5,2,4
Botswana,82,1,9,0,3,0
China,38,22,13,7,3,1
Indonesia,42,7,7,1,2,1
Malaysia,59,22,16,6,2,4
New Zealand,132,15,4,3,1,1
New Caledonia,131,0,7,0,2,0
Japan,48,1,7,0,4,1
Qatar,66,4,9,2,3,0
Austria,137,17,3,5,0,3
Kuwait,53,23,10,8,3,3
Taiwan,74,0,9,0,2,0
Fiji,130,1,0,1,0,0
Burkina Faso,80,1,5,0,2,0
Russia,168,17,8,5,3,2
Czech Republic,143,9,13,3,5,2
Syria,68,0,2,0,1,0
Luxembourg,159,0,11,0,4,0
Portugal,167,10,3,3,0,1
Switzerland,142,7,13,3,5,1
Finland,148,6,16,2,5,1
Mali,105,4,3,2,1,0
South Africa,126,8,1,1,0,1
Zimbabwe,128,1,8,0,1,1
Poland,166,22,21,6,5,2
Sweden,173,9,14,4,6,0
Haiti,9,9,10,3,2,2
Norway,165,4,8,1,4,1
Cuba,4,3,3,2,2,1
Libya,97,6,9,3,2,2
Mauritania,107,1,2,0,1,0
Honduras,8,1,0,1,0,0
Ethiopia,92,0,0,0,0,1
Iceland,156,4,12,2,4,0
Afghanistan,31,0,3,0,1,0
India,43,8,18,2,5,1
Trinidad and Tobago,16,7,7,1,2,2
Canada,2,8,9,2,2,2
El Salvador,15,9,11,2,3,2
United States of America,17,7,11,3,3,2
Guatemala,7,13,11,3,3,1
Suriname,28,8,18,1,5,0
Guyana,25,6,5,2,1,3
Jamaica,10,0,4,0,2,0
Lesotho,99,1,9,0,2,0
Somalia,119,1,0,1,0,0
Puerto Rico,14,0,2,0,1,0
Sierra Leone,117,0,4,0,1,0
