team,team-id,gol-done,gol-received,win,lost,draw
Germany,144,49,16,11,5,1
Uruguay,29,11,7,4,1,3
Italy,155,8,10,2,2,4
Argentina,18,3,4,0,1,2
Brazil,22,36,10,12,1,3
North Korea,64,2,4,0,1,0
China,38,13,6,4,2,2
Netherlands,164,12,7,4,2,2
Venezuela,30,4,14,3,5,0
Tunisia,123,17,6,5,1,3
Qatar,66,5,7,2,3,0
Mexico,11,11,4,2,1,4
Bulgaria,140,27,23,8,6,3
Japan,48,17,27,6,10,3
Poland,166,30,15,9,4,0
Ecuador,24,3,14,1,4,1
Greece,151,12,12,4,3,1
Luxembourg,159,1,15,0,6,0
Bolivia,19,6,9,1,4,0
Colombia,21,9,12,1,4,4
Gambia,94,2,5,0,1,1
Guinea,95,11,10,3,2,6
Mali,105,13,7,4,1,2
Mauritania,107,4,8,0,3,0
Senegal,116,9,6,4,4,1
Jordan,47,4,7,2,4,0
Iraq,46,30,7,9,1,3
Malaysia,59,13,28,2,11,4
South Korea,52,17,12,7,3,2
Peru,27,7,9,2,3,2
Oman,61,0,3,0,2,0
Morocco,100,18,13,5,4,3
Syria,68,2,10,0,5,0
Belgium,138,8,10,3,3,0
Cyprus,40,2,12,0,5,0
Spain,146,15,11,6,3,3
France,149,12,12,3,5,0
Indonesia,42,18,27,5,10,3
Ireland,154,12,16,4,5,3
Israel,45,7,7,2,3,0
Norway,165,11,21,1,7,2
Sweden,173,17,12,7,4,0
Finland,148,10,26,3,6,0
Fiji,130,7,38,1,6,2
Liberia,101,5,12,2,3,1
Togo,122,4,9,1,2,1
Saudi Arabia,67,15,21,6,7,1
Chile,20,17,7,7,2,4
Paraguay,26,3,8,1,4,0
Czech Republic,143,15,10,3,3,3
Switzerland,142,10,9,4,1,3
United Kingdom,150,7,9,2,5,2
Romania,169,7,9,2,5,3
Turkey,73,0,13,0,5,0
Bosnia and Herzegovina,139,17,5,5,0,1
Albania,136,1,14,0,4,0
Cameroon,85,25,9,6,2,2
Niger,110,3,7,2,2,0
Algeria,89,23,7,6,2,1
Kenya,98,17,15,7,4,1
Egypt,90,7,4,2,1,1
Nigeria,111,12,14,4,5,3
Angola,78,2,1,1,0,2
Republic of Congo,87,22,29,3,5,7
Mozambique,106,9,13,1,4,1
Zambia,127,25,15,7,4,3
Ghana,96,10,11,3,1,4
Zimbabwe,128,22,12,7,3,3
Ethiopia,92,8,6,2,1,5
Denmark,145,20,10,8,1,0
Portugal,167,11,17,3,5,1
Hungary,153,16,8,5,2,2
Botswana,82,2,6,0,2,0
Malawi,108,30,17,8,3,3
Lesotho,99,4,12,0,3,1
Swaziland,120,2,9,0,2,2
Sudan,114,3,7,0,2,3
Kuwait,53,20,6,7,1,1
Thailand,69,18,26,6,4,2
New Zealand,132,44,10,10,2,6
Australia,129,22,9,4,2,1
Rwanda,112,1,1,1,1,0
Austria,137,8,6,2,2,2
Yemen,77,1,1,0,0,1
Cuba,4,4,14,1,4,2
Iceland,156,9,12,2,2,2
Taiwan,74,3,8,0,4,0
Russia,168,13,1,4,0,2
Equatorial Guinea,103,1,1,0,0,1
Suriname,28,12,13,2,3,2
Guyana,25,4,5,1,2,0
Haiti,9,2,13,0,4,4
El Salvador,15,6,1,3,1,4
Trinidad and Tobago,16,22,12,6,1,4
Madagascar,104,9,9,3,2,1
Benin,81,2,4,0,2,0
Burkina Faso,80,2,11,0,3,1
Uganda,124,9,9,2,2,2
Burundi,79,3,5,0,2,1
Philippines,63,0,3,0,1,0
India,43,8,10,2,3,2
United Arab Emirates,32,12,15,4,4,0
Canada,2,10,8,2,1,3
Puerto Rico,14,1,3,0,1,1
Honduras,8,8,1,3,0,2
Pakistan,62,4,3,2,1,0
