team,team-id,gol-done,gol-received,win,lost,draw
Austria,137,10,20,2,6,2
Ethiopia,92,18,16,3,3,1
Kenya,98,18,23,3,4,0
Tunisia,123,10,12,1,2,1
Egypt,90,4,5,1,1,0
Uganda,124,7,17,1,5,0
Mali,105,5,5,1,3,1
Ivory Coast,84,3,5,1,1,1
Ghana,96,33,6,6,0,2
Indonesia,42,27,19,7,6,0
Libya,97,8,5,1,0,1
Uruguay,29,11,24,2,6,2
Argentina,18,9,6,4,1,3
Suriname,28,13,11,2,2,4
Mexico,11,9,8,4,3,1
Belgium,138,11,11,3,3,1
Netherlands,164,18,12,3,4,0
Colombia,21,7,15,0,4,2
United Kingdom,150,23,12,6,3,2
Sweden,173,20,9,7,2,1
Czech Republic,143,20,14,6,4,1
Ireland,154,13,22,3,5,1
France,149,7,11,0,3,2
Poland,166,11,13,3,5,1
Germany,144,35,21,10,3,3
Luxembourg,159,1,3,0,1,0
Russia,168,21,9,6,1,1
Morocco,100,5,9,1,2,1
Hungary,153,23,10,8,2,2
Brazil,22,33,8,11,0,1
Paraguay,26,3,16,0,4,0
Turkey,73,8,9,3,2,2
Italy,155,16,5,5,1,1
Bulgaria,140,8,15,2,4,2
Portugal,167,6,9,1,4,0
Switzerland,142,5,19,0,6,0
Togo,122,2,1,1,0,0
Guinea,95,3,5,0,2,0
Norway,165,16,13,5,2,1
Israel,45,1,4,0,2,1
Bosnia and Herzegovina,139,26,17,7,4,1
Jamaica,10,13,19,1,4,1
Haiti,9,12,6,3,0,0
Peru,27,0,4,0,1,0
Denmark,145,32,15,6,2,1
Chile,20,11,10,4,3,1
Spain,146,10,7,2,3,1
New Zealand,132,8,3,2,0,0
New Caledonia,131,3,8,0,2,0
Finland,148,2,11,0,3,0
Iceland,156,4,8,0,2,1
Gabon,93,5,5,1,1,1
Republic of Congo,87,13,5,3,1,0
Taiwan,74,3,7,0,1,2
Thailand,69,8,13,2,3,0
Bolivia,19,6,3,2,0,0
Cameroon,85,6,8,1,2,1
Malaysia,59,10,11,2,3,2
Japan,48,5,8,0,2,2
Pakistan,62,3,3,1,1,2
Philippines,63,0,20,0,3,0
Trinidad and Tobago,16,4,3,1,0,3
Romania,169,10,13,2,3,0
South Korea,52,4,0,2,0,0
Malawi,108,2,18,0,2,0
Guyana,25,2,4,0,1,0
Greece,151,3,2,1,0,0
Nigeria,111,3,1,1,0,1
Puerto Rico,14,1,9,0,2,0
Senegal,116,1,1,0,0,1
Central African Republic,83,5,5,1,1,0
Madagascar,104,2,10,0,2,0
