team,team-id,gol-done,gol-received,win,lost,draw
Brazil,22,16,11,3,2,1
Argentina,18,17,3,5,0,0
Paraguay,26,8,8,2,2,1
Bolivia,19,4,23,0,5,0
Chile,20,8,11,2,3,0
Uruguay,29,11,9,2,3,0
United Kingdom,150,26,7,6,1,0
Belgium,138,14,12,1,2,2
Luxembourg,159,7,22,1,3,0
El Salvador,15,20,17,3,3,1
Guatemala,7,20,10,3,1,1
Panama,13,11,21,2,3,2
Honduras,8,17,12,2,3,0
Costa Rica,3,24,6,4,1,0
Nicaragua,12,5,31,1,4,0
Netherlands,164,16,15,2,1,1
France,149,9,4,3,1,0
Czech Republic,143,7,10,2,2,0
Austria,137,9,15,1,5,0
Hungary,153,11,5,2,1,0
Portugal,167,5,2,2,0,0
Bosnia and Herzegovina,139,6,4,2,1,0
Switzerland,142,7,17,1,4,0
Suriname,28,6,17,2,3,0
Norway,165,17,16,2,4,0
Denmark,145,24,9,5,1,1
Ireland,154,4,11,1,3,1
Zimbabwe,128,0,4,0,1,0
Zambia,127,4,0,1,0,0
Sweden,173,21,8,3,1,1
Spain,146,0,1,0,1,0
Finland,148,2,24,0,3,0
Iceland,156,0,3,0,1,0
Albania,136,11,4,3,1,0
Montenegro,162,0,5,0,1,0
Kenya,98,5,1,2,0,0
Uganda,124,1,2,0,1,0
Bulgaria,140,3,5,0,1,1
Romania,169,4,4,1,1,1
Guyana,25,3,5,1,2,0
Italy,155,3,2,1,0,0
