team,team-id,gol-done,gol-received,win,lost,draw
Ghana,96,5,12,2,4,3
Algeria,89,20,10,4,2,7
Republic of Congo,87,10,11,4,4,3
Gambia,94,4,11,1,3,1
Guatemala,7,11,11,5,5,3
Costa Rica,3,9,6,4,2,2
South Korea,52,22,7,8,1,4
Egypt,90,19,10,7,2,9
United States of America,17,9,12,3,5,3
Czech Republic,143,15,11,6,2,3
Finland,148,9,13,2,4,5
Germany,144,26,21,8,6,7
Sweden,173,18,7,6,1,3
Honduras,8,3,10,0,4,6
Mexico,11,13,1,3,0,0
Thailand,69,11,17,2,3,5
Indonesia,42,9,13,3,4,4
Jordan,47,11,14,4,6,4
United Arab Emirates,32,33,22,12,7,6
Oman,61,6,19,1,7,2
Israel,45,6,12,1,4,2
Belgium,138,9,7,3,2,1
Malaysia,59,4,6,1,2,4
Qatar,66,20,18,7,6,2
Bulgaria,140,20,16,5,3,4
France,149,12,9,4,1,4
Spain,146,15,16,3,6,4
Japan,48,8,17,2,7,4
Austria,137,14,17,3,5,2
Morocco,100,15,9,5,2,4
Switzerland,142,11,11,3,5,1
Romania,169,19,10,5,2,2
China,38,20,6,5,2,6
Yemen,77,7,13,1,4,4
Bangladesh,35,1,9,0,2,3
India,43,1,6,0,3,2
Poland,166,16,13,5,2,2
Tunisia,123,16,22,2,8,5
Benin,81,2,10,0,4,1
Mali,105,16,18,6,5,3
Greece,151,15,16,5,4,3
Ireland,154,19,14,6,5,6
United Kingdom,150,9,11,3,3,6
Saudi Arabia,67,24,28,8,8,12
Canada,2,14,15,5,6,3
Italy,155,17,7,7,2,2
Russia,168,27,16,10,4,4
Djibouti,88,4,1,1,0,0
Iraq,46,17,3,7,0,6
Kuwait,53,18,15,5,8,10
Libya,97,4,2,2,1,0
Suriname,28,3,1,1,0,1
Ivory Coast,84,4,3,1,0,4
Cameroon,85,8,3,5,1,3
Kenya,98,4,10,2,4,2
Nigeria,111,5,3,1,1,3
Uruguay,29,13,9,4,3,1
Hungary,153,12,14,4,3,4
Turkey,73,9,7,2,2,1
El Salvador,15,8,10,3,2,4
Netherlands,164,14,8,6,3,2
Bosnia and Herzegovina,139,16,9,5,1,3
Peru,27,2,10,0,4,1
Colombia,21,9,3,3,0,2
Argentina,18,8,12,1,3,3
Jamaica,10,4,10,2,2,2
Pakistan,62,1,12,0,4,0
Guyana,25,0,5,0,2,0
Trinidad and Tobago,16,14,4,4,1,3
Denmark,145,12,16,3,6,3
Luxembourg,159,1,10,0,4,0
Senegal,116,13,6,4,0,3
Sierra Leone,117,6,9,1,3,3
Guinea,95,11,8,5,2,3
Mauritania,107,5,6,0,1,2
Cuba,4,1,2,0,1,2
Iceland,156,5,14,1,5,2
North Korea,64,3,2,2,1,2
Togo,122,1,3,0,2,0
Puerto Rico,14,1,3,0,2,0
Chile,20,15,12,4,4,4
Burkina Faso,80,14,8,8,2,0
Nepal,60,0,7,0,3,1
Syria,68,15,14,7,4,4
Iran,44,9,5,4,2,4
Norway,165,9,10,1,4,3
Zambia,127,23,16,6,4,3
Zimbabwe,128,5,5,1,1,3
Ecuador,24,8,11,3,3,3
Mozambique,106,3,5,0,2,2
Malawi,108,19,19,7,4,4
New Zealand,132,11,11,3,4,1
Australia,129,16,7,5,3,0
Brazil,22,12,3,5,0,2
Lebanon,55,2,4,1,1,2
Uganda,124,3,8,1,3,1
Panama,13,1,3,0,1,1
Niger,110,8,3,2,3,0
Angola,78,11,12,3,2,4
Gabon,93,10,10,3,3,2
Albania,136,1,6,0,3,1
Sudan,114,1,2,0,1,1
Liberia,101,3,6,1,3,3
Paraguay,26,13,4,5,1,1
Venezuela,30,0,0,0,0,1
Cyprus,40,2,10,0,3,2
Portugal,167,1,0,1,0,1
Equatorial Guinea,103,1,5,0,2,1
Swaziland,120,1,1,0,0,1
Solomon Islands,134,8,4,2,1,1
Fiji,130,20,8,6,1,2
New Caledonia,131,6,5,1,3,0
Vanuatu,135,2,19,1,3,0
Ethiopia,92,3,3,1,1,1
Chad,121,2,4,0,2,0
Central African Republic,83,2,5,1,2,1
Taiwan,74,1,4,0,1,0
