team,team-id,gol-done,gol-received,win,lost,draw
Greece,151,9,15,2,3,4
El Salvador,15,5,9,2,4,0
Mexico,11,10,3,3,0,0
Cyprus,40,2,20,0,7,1
India,43,1,1,0,0,1
China,38,3,4,0,1,1
Mali,105,10,9,4,5,3
Burkina Faso,80,10,13,4,5,1
Guinea,95,4,4,4,1,3
Spain,146,16,10,4,2,1
Netherlands,164,22,2,6,0,3
Italy,155,15,3,6,1,3
Niger,110,1,5,1,2,0
Nigeria,111,7,3,3,1,2
Syria,68,2,4,0,2,1
Guyana,25,12,12,2,3,3
Ivory Coast,84,18,13,9,5,0
Ghana,96,13,5,4,1,4
Liberia,101,7,7,3,3,2
Benin,81,3,4,0,1,3
Portugal,167,5,6,3,2,2
Belgium,138,7,6,2,3,2
Jamaica,10,5,1,2,0,0
Tunisia,123,5,10,1,4,1
Austria,137,8,12,2,3,2
Hungary,153,12,10,4,3,2
Kuwait,53,5,4,2,2,1
Algeria,89,8,6,3,3,1
Israel,45,4,19,0,6,2
Ireland,154,17,11,7,4,2
United Kingdom,150,20,7,4,1,3
Russia,168,12,6,5,2,3
Panama,13,8,5,4,1,2
Cuba,4,7,8,2,3,3
Thailand,69,5,6,1,2,1
Oman,61,0,2,0,1,0
North Korea,64,1,0,1,0,0
Iraq,46,5,4,2,1,0
Mauritania,107,3,10,0,5,1
Senegal,116,9,5,3,3,5
Sierra Leone,117,7,4,4,1,3
Dominican Republic,5,2,6,0,3,1
Iceland,156,5,12,3,3,1
Turkey,73,6,16,1,4,1
Romania,169,19,11,5,1,3
Vanuatu,135,22,15,3,3,1
Republic of Congo,87,11,12,2,5,3
Poland,166,20,16,6,4,1
Finland,148,6,11,1,4,0
United Arab Emirates,32,3,2,1,0,1
Guatemala,7,2,1,1,1,0
Norway,165,6,12,1,5,3
Germany,144,26,14,9,4,6
Jordan,47,2,1,1,0,0
Albania,136,1,12,0,4,0
Switzerland,142,12,7,3,1,5
Czech Republic,143,9,10,3,3,2
Bosnia and Herzegovina,139,13,9,4,3,0
Botswana,82,0,0,0,0,1
Kenya,98,8,7,2,2,3
Madagascar,104,7,5,3,1,0
Togo,122,3,6,2,2,1
Cameroon,85,10,2,5,1,1
Uganda,124,9,8,3,2,1
Angola,78,5,8,2,2,4
Mozambique,106,1,1,0,0,1
Zimbabwe,128,10,8,2,2,6
Sudan,114,3,3,2,1,1
Ecuador,24,6,12,1,5,2
Bulgaria,140,11,5,4,2,0
Gabon,93,3,3,1,1,4
Sweden,173,9,6,4,2,3
Zambia,127,6,6,3,2,0
Denmark,145,3,4,2,3,1
France,149,5,7,1,3,2
Honduras,8,4,2,2,0,1
Luxembourg,159,2,16,0,6,1
New Caledonia,131,26,4,5,1,1
Brazil,22,22,11,6,2,2
Japan,48,2,2,0,0,1
Egypt,90,6,2,2,0,3
United States of America,17,2,4,1,2,0
Australia,129,3,3,1,1,3
Morocco,100,1,3,0,2,0
Argentina,18,7,8,2,4,1
South Korea,52,8,6,3,1,3
Colombia,21,9,6,4,2,0
Malawi,108,14,21,3,5,3
Bolivia,19,1,6,0,3,1
Paraguay,26,3,3,2,1,1
Peru,27,5,6,1,2,2
Chile,20,14,8,5,3,0
Uruguay,29,6,2,4,0,0
Venezuela,30,1,8,0,2,0
Burundi,79,6,4,1,0,2
Indonesia,42,5,3,2,0,1
New Zealand,132,2,1,1,0,1
Trinidad and Tobago,16,11,2,3,0,0
Canada,2,2,7,0,2,1
Central African Republic,83,3,7,0,3,1
Suriname,28,2,1,1,0,1
Chad,121,7,3,2,1,1
Equatorial Guinea,103,0,5,0,2,2
Papua New Guinea,133,26,4,3,1,2
Ethiopia,92,6,2,2,0,3
Malaysia,59,0,1,0,1,0
