team,team-id,gol-done,gol-received,win,lost,draw
Mali,105,3,7,1,1,4
Algeria,89,18,4,7,0,2
Cameroon,85,20,26,7,7,4
Greece,151,16,4,5,1,1
Belgium,138,13,14,3,5,3
Mexico,11,7,6,3,2,1
Argentina,18,9,10,3,4,5
Malawi,108,11,8,4,2,6
Swaziland,120,10,15,1,3,3
Botswana,82,6,15,1,3,3
Kuwait,53,13,8,3,3,3
France,149,14,4,7,0,1
Germany,144,45,23,15,2,5
Liberia,101,0,2,0,2,0
Senegal,116,5,5,2,3,3
Nigeria,111,9,7,5,2,1
Ivory Coast,84,8,9,4,4,0
United Arab Emirates,32,12,35,2,9,5
Egypt,90,13,24,4,9,6
Thailand,69,3,2,1,0,1
Kenya,98,8,13,1,5,2
Colombia,21,10,14,3,5,4
Uruguay,29,12,12,4,4,2
Indonesia,42,9,7,1,2,1
Iran,44,0,3,0,2,0
Poland,166,20,16,6,5,5
United States of America,17,29,31,8,11,3
Costa Rica,3,7,13,3,6,0
Romania,169,26,18,7,5,4
South Korea,52,14,13,7,5,3
Norway,165,21,13,5,3,2
Denmark,145,11,8,5,3,3
Uganda,124,14,9,3,1,4
Togo,122,2,3,0,1,3
Finland,148,8,13,2,2,5
Sweden,173,22,16,5,6,2
Iraq,46,6,3,2,0,3
Russia,168,21,13,7,5,3
Gambia,94,2,4,1,2,1
Morocco,100,8,2,3,1,1
Netherlands,164,16,11,2,5,4
Italy,155,17,3,9,0,5
Spain,146,26,11,7,3,1
Czech Republic,143,18,17,5,7,1
Oman,61,4,6,0,1,3
Qatar,66,4,4,1,1,2
Austria,137,14,16,4,5,3
Zambia,127,13,3,6,1,2
Mozambique,106,14,13,4,4,1
Angola,78,12,8,4,2,1
Lesotho,99,2,10,0,3,0
Zimbabwe,128,23,17,5,4,2
Jamaica,10,7,2,4,1,2
Hungary,153,18,12,5,3,2
Ireland,154,19,11,6,3,9
United Kingdom,150,20,12,8,2,5
Brazil,22,9,10,4,3,3
Israel,45,6,10,1,3,0
Luxembourg,159,3,6,0,3,0
Iceland,156,14,12,4,4,0
Bosnia and Herzegovina,139,16,10,6,3,2
Switzerland,142,15,11,5,3,1
Turkey,73,1,11,0,4,1
Guyana,25,4,13,0,2,4
Gabon,93,4,7,2,4,1
Suriname,28,7,9,1,2,1
Bulgaria,140,5,7,1,3,1
Canada,2,2,1,1,0,0
Mauritania,107,3,8,1,3,0
Burkina Faso,80,2,2,1,1,1
Georgia,41,2,2,0,0,1
Lithuania,158,2,2,0,0,1
Ghana,96,1,1,1,1,0
Albania,136,0,13,0,4,0
Jordan,47,0,2,0,1,0
Tunisia,123,7,7,2,2,2
Namibia,109,1,2,0,1,0
China,38,5,5,2,3,1
North Korea,64,3,5,2,3,0
Japan,48,0,4,0,3,0
Trinidad and Tobago,16,0,5,0,2,2
Republic of Congo,87,20,8,8,5,2
New Zealand,132,3,1,2,0,0
Ethiopia,92,0,4,0,2,0
Niger,110,0,3,0,2,0
Chad,121,4,7,2,3,0
Australia,129,3,2,1,2,0
Portugal,167,3,1,2,0,2
Sierra Leone,117,1,1,0,0,1
Guinea,95,1,1,0,0,1
Malaysia,59,0,4,0,2,0
Yemen,77,1,0,1,0,0
Benin,81,1,2,0,1,1
Croatia,152,4,1,2,0,0
Cyprus,40,2,11,0,3,0
Fiji,130,2,1,1,0,3
Solomon Islands,134,3,4,1,1,2
Vanuatu,135,4,2,2,0,2
New Caledonia,131,5,3,2,1,1
Papua New Guinea,133,1,5,0,4,0
Chile,20,0,0,0,0,1
Guatemala,7,0,3,0,1,0
Central African Republic,83,3,7,0,2,1
Equatorial Guinea,103,3,10,0,2,1
Sudan,114,5,5,2,1,1
