team,team-id,gol-done,gol-received,win,lost,draw
Czech Republic,143,11,11,1,3,4
Republic of Congo,87,27,23,7,9,5
Ivory Coast,84,16,13,4,3,5
Guyana,25,8,10,1,3,3
Egypt,90,11,11,3,4,5
Norway,165,23,8,5,2,4
Cameroon,85,17,11,5,4,6
Morocco,100,12,6,3,2,3
Senegal,116,15,9,4,3,2
Nigeria,111,16,6,7,1,1
Algeria,89,7,9,2,3,4
Zambia,127,25,8,8,4,1
Kenya,98,11,17,3,4,2
Portugal,167,5,5,2,2,4
Spain,146,12,1,4,0,5
Ghana,96,14,6,7,2,2
United States of America,17,21,27,6,11,4
Russia,168,16,16,5,3,6
Australia,129,23,8,10,3,2
Sweden,173,22,11,8,3,3
Albania,136,3,9,2,3,1
Greece,151,8,5,4,2,1
El Salvador,15,31,23,8,6,4
Iceland,156,5,9,2,5,1
Costa Rica,3,19,20,4,6,3
Romania,169,21,5,5,2,1
Israel,45,12,17,2,4,4
Netherlands,164,24,16,6,3,4
Turkey,73,14,16,4,4,1
Finland,148,6,14,0,5,4
United Kingdom,150,16,10,4,2,6
France,149,11,16,2,5,4
Ireland,154,21,13,6,5,5
Italy,155,15,6,5,0,4
Tunisia,123,10,6,2,1,4
Brazil,22,23,8,7,2,1
Belgium,138,13,6,5,1,1
United Arab Emirates,32,13,11,6,4,8
Cyprus,40,13,14,4,5,1
Mexico,11,18,17,5,4,5
Honduras,8,34,12,8,2,4
Dominican Republic,5,2,3,0,1,1
Puerto Rico,14,4,5,1,2,1
Hungary,153,17,10,5,3,3
Austria,137,18,17,2,4,4
Switzerland,142,17,8,4,2,1
Germany,144,18,17,5,4,5
Luxembourg,159,2,8,0,3,0
Bosnia and Herzegovina,139,0,2,0,1,0
Canada,2,18,15,4,3,4
China,38,21,26,5,6,5
Togo,122,2,8,1,4,2
Latvia,160,7,21,1,7,4
Denmark,145,11,9,4,3,6
Jamaica,10,20,31,7,7,5
Lithuania,158,11,14,3,3,5
Trinidad and Tobago,16,10,4,4,1,0
Malaysia,59,4,10,1,2,3
Indonesia,42,4,8,1,2,2
Haiti,9,3,6,1,2,0
Suriname,28,7,5,2,0,2
Bulgaria,140,13,8,4,3,1
Ukraine,174,3,6,0,2,2
Uruguay,29,11,8,5,2,1
Cuba,4,9,2,2,1,2
Poland,166,13,14,5,2,4
Iran,44,14,3,3,1,4
Pakistan,62,0,18,0,4,0
Kuwait,53,12,11,3,3,5
Syria,68,2,6,0,2,2
Qatar,66,20,13,5,4,4
India,43,0,3,0,1,0
Moldova,163,11,5,3,2,2
Guatemala,7,12,7,2,1,3
Ecuador,24,4,7,0,2,2
Ethiopia,92,19,33,4,7,1
Sudan,114,8,14,2,4,1
Oman,61,1,18,0,7,0
Kazakhstan,49,8,3,4,0,3
Turkmenistan,71,10,7,2,2,2
Argentina,18,12,1,5,0,1
Estonia,147,3,10,0,2,3
Slovenia,172,2,2,0,0,2
North Korea,64,14,12,2,3,5
Taiwan,74,0,8,0,2,1
Nicaragua,12,2,17,0,3,0
Japan,48,14,7,5,1,4
New Zealand,132,15,1,3,0,0
Fiji,130,12,6,4,1,1
Gabon,93,11,5,5,1,1
Lesotho,99,13,9,3,1,4
Botswana,82,1,19,0,6,2
Swaziland,120,6,9,2,2,1
Tajikistan,70,5,5,0,0,2
Uzbekistan,76,14,8,3,2,2
South Korea,52,12,5,2,1,4
Bangladesh,35,0,7,0,2,0
Mozambique,106,8,7,2,3,0
Burundi,79,6,5,3,1,1
Thailand,69,4,6,2,1,2
Eritrea,91,2,1,1,0,1
Vanuatu,135,3,26,0,8,0
Chad,121,0,8,0,5,0
Slovakia,171,4,2,2,0,0
Panama,13,2,13,1,3,0
Libya,97,1,4,0,3,1
Croatia,152,4,4,1,2,1
Malawi,108,10,12,4,2,4
Zimbabwe,128,12,4,5,1,2
South Africa,126,6,13,2,4,1
New Caledonia,131,5,5,2,2,1
Solomon Islands,134,9,17,1,5,1
Colombia,21,1,0,1,0,1
Namibia,109,2,13,0,4,1
Niger,110,4,8,2,4,2
Mali,105,10,6,5,1,1
Uganda,124,9,6,2,1,2
Benin,81,3,13,0,5,0
Guinea,95,9,2,2,0,2
Iraq,46,17,2,3,1,0
Jordan,47,10,1,5,0,0
Kyrgyzstan,50,3,16,0,4,1
Sierra Leone,117,4,0,2,0,1
Burkina Faso,80,3,4,1,1,0
Liberia,101,3,5,0,1,1
Georgia,41,6,5,1,2,0
Azerbaijan,34,3,6,0,1,0
Saudi Arabia,67,20,11,7,4,2
Angola,78,0,1,0,1,0
Madagascar,104,5,0,2,0,1
Armenia,33,0,0,0,0,1
Belarus,141,1,1,0,0,1
