team,team-id,gol-done,gol-received,win,lost,draw
Nigeria,111,21,18,4,3,3
Algeria,89,4,3,1,0,2
Bulgaria,140,7,7,3,2,2
Kuwait,53,4,18,1,4,0
Jordan,47,1,11,0,3,0
Spain,146,5,9,1,2,2
France,149,13,12,2,4,2
Morocco,100,7,7,2,1,1
Switzerland,142,4,14,0,3,2
China,38,26,11,7,3,3
Uganda,124,20,10,4,1,2
Portugal,167,1,1,1,1,0
Pakistan,62,4,5,1,1,2
Benin,81,2,5,0,1,1
Mali,105,7,11,2,3,0
Burkina Faso,80,0,1,0,1,0
Paraguay,26,26,16,7,2,2
Bolivia,19,20,21,5,2,1
Jamaica,10,7,27,1,7,2
Haiti,9,5,3,1,1,1
Senegal,116,3,10,0,3,1
United Kingdom,150,30,15,5,2,1
Guatemala,7,9,8,2,2,1
Honduras,8,6,8,2,2,0
Ghana,96,10,1,3,0,1
Netherlands,164,6,6,2,2,3
Belgium,138,11,5,4,1,1
Brazil,22,34,34,7,8,3
Tunisia,123,20,14,6,3,2
Argentina,18,26,20,5,4,1
Colombia,21,15,24,1,6,1
Ecuador,24,14,18,1,3,2
Peru,27,8,11,2,3,1
Ivory Coast,84,3,0,1,0,0
Hungary,153,18,13,3,2,4
Panama,13,7,2,1,0,1
Uruguay,29,3,2,1,0,1
Chile,20,2,3,0,1,1
Costa Rica,3,13,5,4,1,1
Mexico,11,9,2,1,1,1
Ethiopia,92,25,10,7,2,0
Nicaragua,12,1,8,0,2,0
Turkey,73,0,4,0,2,2
Italy,155,7,3,4,1,1
Bosnia and Herzegovina,139,8,5,3,2,1
Czech Republic,143,6,13,0,4,2
Germany,144,23,18,3,5,3
Lebanon,55,11,3,2,2,0
Suriname,28,10,9,2,2,0
Trinidad and Tobago,16,6,8,1,2,0
Syria,68,4,1,1,1,0
Ireland,154,11,17,3,3,2
El Salvador,15,5,3,2,0,2
Puerto Rico,14,0,9,0,2,0
Austria,137,7,12,1,5,1
Cambodia,51,2,9,0,2,0
Indonesia,42,12,16,2,3,2
Egypt,90,47,13,7,1,4
Sweden,173,10,6,4,0,4
Romania,169,6,4,2,0,2
Norway,165,9,29,2,5,1
Poland,166,20,6,3,1,2
Denmark,145,17,15,3,2,4
Israel,45,0,5,0,1,0
Greece,151,4,8,1,2,0
Russia,168,5,4,1,1,3
Kenya,98,15,14,4,4,1
Sudan,114,13,10,3,2,2
Finland,148,3,1,1,0,2
Albania,136,1,4,1,1,0
Zambia,127,5,2,1,1,0
Malawi,108,1,5,0,1,0
Guinea,95,9,4,2,0,2
Malaysia,59,19,24,2,5,1
Japan,48,16,7,4,0,1
Thailand,69,10,23,0,5,2
South Korea,52,9,6,2,1,1
Taiwan,74,10,2,2,0,0
Solomon Islands,134,0,18,0,1,0
Luxembourg,159,8,8,1,1,3
Madagascar,104,6,1,1,0,0
Liberia,101,2,5,0,1,1
Cameroon,85,3,6,1,1,0
Togo,122,1,2,0,1,0
North Korea,64,22,2,3,0,1
Somalia,119,0,14,0,1,0
Laos,54,1,24,0,2,0
Saudi Arabia,67,0,7,0,1,0
Cyprus,40,3,1,1,0,0
Philippines,63,0,7,0,1,0
