country,games
Kuwait,6
United Arab Emirates,3
Indonesia,2
Turkey,9
United States of America,10
Saudi Arabia,1
Iraq,5
Iran,2
Spain,9
Jordan,3
Laos,2
France,14
Zambia,4
Algeria,2
Belize,1
China,5
Denmark,3
Dominican Republic,2
South Korea,3
Malaysia,3
Nicaragua,2
Philippines,2
Thailand,4
Austria,16
Azerbaijan,2
Bulgaria,1
Cyprus,1
Gambia,1
Germany,3
Greece,1
Hungary,4
United Kingdom,53
Belgium,6
Netherlands,1
Norway,2
Poland,4
Switzerland,11
Russia,66
Morocco,4
Italy,3
Tunisia,1
Armenia,2
Botswana,1
Georgia,2
Israel,1
Mauritania,1
Ireland,2
Sweden,3
Uganda,2
Jamaica,1
Albania,1
Tajikistan,1
North Korea,1
Kyrgyzstan,1
Lebanon,1
Luxembourg,3
Mongolia,1
Montenegro,2
Namibia,1
Oman,1
Romania,2
Slovenia,1
Taiwan,1
Qatar,1
Trinidad and Tobago,1
Zimbabwe,1
Kenya,2
Niger,3
South Africa,20
Nigeria,1
Portugal,3
Bosnia and Herzegovina,1
Argentina,1
Peru,1
Panama,1
Japan,1
Estonia,2
Slovakia,1
India,6
Mexico,1
Iceland,2
Latvia,2
Costa Rica,1
Kazakhstan,1
Lithuania,1
Belarus,1
Uruguay,1
Croatia,1
Finland,1
