country,games
Algeria,2
Cameroon,7
Republic of Congo,5
Ghana,1
Libya,2
Spain,5
Ivory Coast,1
Bulgaria,2
Egypt,1
Belgium,4
Bosnia and Herzegovina,4
Guyana,7
Ireland,6
Italy,3
United Kingdom,8
Netherlands,4
Switzerland,5
France,2
Germany,3
Austria,4
Poland,2
Greece,3
Norway,4
Sweden,3
Czech Republic,1
Portugal,2
Tunisia,1
Russia,2
Hungary,3
Israel,8
United States of America,1
Brazil,6
Finland,3
Iceland,2
Malaysia,12
Argentina,2
Turkey,3
Luxembourg,2
Uganda,1
Denmark,2
Chile,1
Albania,1
Kuwait,8
Paraguay,1
Kenya,2
