country,games
Qatar,6
Egypt,36
France,25
Morocco,5
Tunisia,10
Senegal,3
United Arab Emirates,13
Saudi Arabia,15
United States of America,23
Ecuador,1
Northern Cyprus,21
Thailand,10
Kuwait,4
Syria,6
China,4
Oman,6
Jordan,12
Japan,10
New Zealand,2
Iran,6
Lebanon,7
Uzbekistan,3
Yemen,8
Guyana,10
Cyprus,11
Azerbaijan,3
Germany,94
United Kingdom,22
Albania,3
Switzerland,13
Austria,8
Bangladesh,29
India,3
Ireland,9
Israel,2
Italy,6
South Korea,7
Luxembourg,7
Macedonia,3
Netherlands,11
Pakistan,3
Russia,5
Spain,8
Turkey,1
Venezuela,4
Equatorial Guinea,8
Lesotho,8
Chile,5
Poland,6
Trinidad and Tobago,2
Mexico,1
Botswana,8
Moldova,4
Slovakia,6
Belgium,4
Hungary,4
Norway,4
Australia,4
Sweden,5
Denmark,4
Portugal,3
Montenegro,1
Croatia,3
Ukraine,4
Czech Republic,6
Estonia,4
Slovenia,3
Malaysia,5
Algeria,2
Mozambique,5
Kazakhstan,4
Malawi,3
Zambia,4
Ethiopia,28
Namibia,6
Rwanda,2
Uganda,3
Iceland,3
Belarus,3
Bosnia and Herzegovina,3
Finland,3
Libya,3
Peru,2
Romania,3
Swaziland,2
Togo,2
Cuba,6
Gabon,1
Georgia,3
Kenya,1
Latvia,2
Nigeria,1
Republic of Serbia,4
South Africa,1
Chad,1
Republic of Congo,2
Gambia,1
Guinea,1
Sierra Leone,1
Sudan,1
Canada,1
Armenia,2
Bulgaria,2
Guatemala,1
Honduras,1
Lithuania,1
Haiti,4
Zimbabwe,2
Jamaica,6
Burkina Faso,1
Cameroon,1
Eritrea,1
Greece,1
Panama,2
Angola,1
Benin,1
Burundi,1
Ivory Coast,1
Liberia,1
Mali,1
Niger,1
Uruguay,1
Philippines,6
Bolivia,1
El Salvador,1
