country,games
Kenya,5
United States of America,16
Egypt,13
Swaziland,5
Togo,6
India,18
Algeria,8
Qatar,17
Burkina Faso,7
Namibia,5
Nigeria,5
Tunisia,6
Uganda,2
Republic of Congo,11
Guinea,2
Liberia,5
Zimbabwe,5
Iran,10
Israel,4
Ivory Coast,5
Mali,16
Thailand,21
Mexico,10
Benin,2
Botswana,5
South Africa,5
Angola,7
Ghana,4
Jamaica,7
Jordan,10
Madagascar,6
Saudi Arabia,21
Lebanon,10
Sweden,7
Puerto Rico,1
Senegal,7
Fiji,3
United Arab Emirates,12
Bulgaria,6
Georgia,7
Kuwait,10
Oman,21
Panama,5
Libya,5
Morocco,6
Cameroon,3
Malawi,5
Sudan,5
Cyprus,8
France,7
Belgium,4
Bosnia and Herzegovina,11
Colombia,31
Costa Rica,5
Croatia,5
United Kingdom,16
Greece,6
Italy,5
Luxembourg,5
Macedonia,5
Netherlands,4
Ireland,10
Portugal,6
Slovenia,7
Guatemala,1
Lesotho,8
Sierra Leone,5
Zambia,6
Gabon,3
Honduras,21
Spain,9
Armenia,4
Azerbaijan,3
Germany,6
Hungary,6
Norway,5
Romania,5
Russia,5
Trinidad and Tobago,23
Turkey,6
Ukraine,5
Burundi,2
Peru,4
Albania,3
Argentina,4
Austria,5
Belarus,3
Czech Republic,7
Ecuador,4
Moldova,4
Poland,5
Slovakia,4
Sri Lanka,1
Switzerland,4
Uruguay,5
Suriname,6
Guyana,6
Haiti,8
Brunei,3
Australia,13
Mauritania,1
Indonesia,3
Iraq,9
Cambodia,3
Kazakhstan,6
China,11
Mozambique,2
Uzbekistan,8
Belize,3
Chile,5
Venezuela,4
Bolivia,4
Brazil,5
Denmark,7
Latvia,7
Yemen,3
Bangladesh,1
Syria,5
Estonia,5
Laos,1
South Korea,15
Philippines,1
Japan,13
Finland,3
Iceland,4
Paraguay,4
Gambia,1
New Zealand,11
Lithuania,3
Malaysia,8
Cuba,2
The Bahamas,1
Ethiopia,1
Rwanda,18
