country,games
Cameroon,3
Iraq,14
Cuba,1
Kuwait,1
Mali,3
Nigeria,2
Guinea,1
Malawi,8
Liberia,2
Jamaica,2
Senegal,5
Spain,3
Italy,6
Haiti,3
Morocco,1
Brazil,4
United Kingdom,10
Thailand,18
Luxembourg,2
Turkey,3
Ghana,5
France,4
Germany,6
Poland,4
Republic of Congo,1
Czech Republic,6
Cyprus,4
Austria,4
Russia,4
Algeria,1
Ivory Coast,3
Hungary,3
Ireland,7
Sweden,5
Bulgaria,2
Belgium,3
Switzerland,4
Romania,5
South Korea,4
Finland,2
China,4
Iceland,3
Greece,2
Uruguay,4
Kenya,2
Norway,2
Indonesia,8
Paraguay,3
Panama,7
Uganda,2
Ecuador,4
Mozambique,3
United States of America,3
Chile,3
Denmark,2
Bolivia,5
Peru,6
Canada,4
Tunisia,15
Iran,2
Colombia,4
New Zealand,3
Fiji,1
Malaysia,24
Venezuela,3
Australia,1
Mexico,6
Argentina,2
Netherlands,2
Bosnia and Herzegovina,2
Israel,1
Zambia,10
Guyana,1
Portugal,3
