country,games
Malaysia,2
Egypt,10
Indonesia,1
Jamaica,1
Haiti,1
Costa Rica,7
United States of America,51
Guyana,3
Cuba,1
Trinidad and Tobago,13
Kuwait,8
Saudi Arabia,9
Ecuador,6
Jordan,3
Japan,10
Qatar,11
Turkey,6
Iran,8
China,4
Gabon,8
South Korea,14
Cyprus,10
France,17
Albania,5
Algeria,4
Azerbaijan,3
Bulgaria,7
Chile,5
United Kingdom,42
Georgia,6
Germany,20
Greece,5
Ireland,12
Israel,4
Italy,5
Macedonia,3
Morocco,4
Panama,5
Poland,8
Slovenia,5
South Africa,11
Spain,9
United Arab Emirates,7
Uzbekistan,4
Venezuela,6
Guatemala,18
Republic of Congo,9
Mexico,7
Botswana,4
Malawi,3
Taiwan,6
Kenya,5
Sudan,6
Zimbabwe,5
Lesotho,2
North Korea,2
Armenia,3
Australia,4
Belgium,4
Bolivia,4
Burkina Faso,3
Croatia,4
Czech Republic,6
Denmark,5
Estonia,7
Nigeria,3
Portugal,8
Romania,5
Senegal,3
Tunisia,5
Zambia,8
Brazil,5
Cameroon,3
Ivory Coast,3
Mali,3
Argentina,3
Austria,3
Bosnia and Herzegovina,3
Hungary,5
Latvia,5
Moldova,3
Netherlands,6
Paraguay,5
Peru,4
Montenegro,4
Slovakia,5
Switzerland,8
Ukraine,9
Uruguay,4
Namibia,3
Lithuania,5
Norway,6
Libya,4
Togo,3
Finland,6
Belarus,5
Benin,2
Colombia,3
Iceland,4
Russia,4
Sweden,5
Angola,2
Ghana,2
Guinea,5
Rwanda,26
Canada,2
Kazakhstan,4
Thailand,5
Luxembourg,3
Sierra Leone,4
Pakistan,19
Uganda,2
Liberia,2
Mozambique,3
Fiji,2
Solomon Islands,1
Cambodia,1
Madagascar,1
Oman,1
Puerto Rico,1
Tajikistan,1
Syria,1
Bangladesh,1
